id,category,item,value,unit,source,page,confidence,system,part,applies,note
SP-120,Brakes,Brake pedal,free play 7-9 mm (0.28-0.35 in); height 190 +5/-0 mm (7.48 in) from floor,,"S-002,S-003",S-002 p.11-2; S-003 T:6,primary,brakes,,,
SP-121,Brakes,Parking brake,"Mechanical on rear wheels, floor lever; 3-7 notches at 10 kg (22 lb) pull (1980 spec)",,"S-002,S-003",S-002 p.11-2; S-003 T:6,primary,brakes,,other-car,
SP-122,Brakes,Stop-lamp checker,Stop light checker F-03 lights cluster warning if a stop bulb fails,,"S-001,S-006",S-001 PDF p.22 and p.16; S-006 PDF p.21 (printed 27),primary,brakes,,,Added for 1981.
SP-123,Wheels,Bolt pattern,4 x 110 mm (4 x 4.33 in),,S-021,,unverified,wheels,,,Enthusiast table only; 1985 FSM wheel section on the server was corrupt so no Mazda page was captured. Universally reported for 1979-85.
SP-124,Wheels,Wheel stud thread,M12 x 1.5,,S-023,,secondary,wheels,,,Rotary-specialist vendor lug nut listing 'fits all RX-7'.
SP-125,Wheels,Wheel nut torque,9-11 m-kg (65-80 ft-lb),,S-003,T:8 ('Wheel bolts'),primary,wheels,,,1980 FSM tightening-torque table; no 1981-85 Mazda page captured. Re-torque after 50 miles.
SP-126,Wheels,"Standard wheel, GS",5J x 13 styled steel wheel (WDC),,"S-004,S-003",S-004 p.14; S-003 T:6,primary,wheels,,,"GSL: 5.5JJ x 13 aluminium, optional on GS/S with 185/70HR13."
SP-127,Wheels,Wheel offset (stock),ET 20 (5Jx13 and 5.5Jx13),mm,S-020,,unverified,wheels,,,wheel-size.com listing; not confirmed by a Mazda document.
SP-128,Wheels,"Tyre size, GS",185/70HR13 (S: 165HR13); compact spare,,"S-004,S-003",S-004 p.14-15; S-003 T:6,primary,wheels,,,
SP-129,Wheels,Tyre pressure (1980 FSM),1.8 kg/cm2 (26 psi) front and rear,,S-003,T:6,primary,wheels,,,Verify against the 1982 door-jamb placard.
SP-130,Wheels,Wheel run-out limit,"radial 1.0 mm, lateral 1.0 mm (steel); 0.5 mm aluminium",mm,S-003,T:6,primary,wheels,,,
SP-131,Dimensions,Wheelbase,95.3 (2420),in (mm),"S-004,S-003",S-004 p.14; S-003 T:7,primary,,,,
SP-132,Dimensions,"Track, front / rear",55.9 / 55.1,in,S-004,p.14,primary,,,,1980 FSM: 1420 / 1400 mm (56 / 55 in).
SP-133,Dimensions,Overall length,170.1,in,S-004,p.15,primary,,,,1979-80 body: 169 in (4285 mm) (S-003 T:7); the 1981 body has urethane bumpers (S-006 PDF p.21).
SP-134,Dimensions,Overall width,65.7,in,S-004,p.15,primary,,,,1980 FSM 1675 mm (66 in) with side protector.
SP-135,Dimensions,Overall height,49.6,in,S-004,p.15,primary,,,,1980 FSM 1260 mm (50 in).
SP-136,Dimensions,Ground clearance,5.7,in,S-004,p.15,primary,,,,1980 FSM 160 mm (6 in).
SP-137,Dimensions,Interior: headroom / legroom / shoulder room,37.2 (36.8 with sunroof) / 41.5 / 51.4,in,S-004,p.15,primary,,,,
SP-138,Dimensions,Seating capacity,2,,S-003,T:7,primary,,,,
SP-139,Weights,"Curb weight, base (5-speed, no A/C)",2290,lb,S-004,p.15,primary,,,other-car,"Brochure figure, all trims."
SP-140,Weights,Curb weight adders,"+35 lb automatic (Federal), +25 lb automatic (California), +55 lb air conditioning",lb,S-004,p.15,primary,,,,
SP-141,Weights,"Curb weight, GS automatic Federal (derived)",2325 (2380 with A/C),lb,S-004,p.15,primary,,,,Derived: 2290 + 35 (+55). Not a printed figure; weigh the car for the real number.
SP-142,Weights,Front/rear weight distribution,50:50 (approx.),,S-024,,unverified,,,,Wikipedia claim; no Mazda figure found.
SP-143,Capacities,"Engine oil, total with filter (1981-82 spec)",5.2 (5.5 US qt); oil pan 4.2 (4.4 US qt),L,"S-006,S-003",S-006 PDF p.37 (printed 47) ('Full cap 5.2 L'); S-003 T:2,primary,,PT001,,Applies to the 1981-82 12A with the front-mounted (below radiator) oil cooler. DISAGREES with 1985 figure below because the 1983+ 12A moved the cooler to the engine top (S-016).
SP-144,Capacities,"Engine oil, total with filter (1985 spec)",4.6 (4.9 US qt); oil pan 4.2 (4.4 US qt); filter 0.3 (0.32 US qt),L,S-002,p.2-3,primary,,,other-car,"1983-85 12A. Fill to dipstick, do not trust either figure blindly."
SP-150,Capacities,Front strut damper fluid (1980 spec),225 +5/-0 cc,cc,S-003,T:7,primary,,,,Only relevant if rebuilding original struts.
SP-160,Torque,Eccentric shaft pulley bolt,100-120 N-m (72-87 ft-lb),,"S-002,S-003",S-002 p.1-50; S-003 T:7,primary,,,,New washer when pulley removed.
SP-161,Torque,Engine tension bolts (12A),"32-38 N-m (23-27 ft-lb), oiled threads, in sequence",,"S-002,S-003",S-002 p.1-47; S-003 T:7,primary,,,,
SP-162,Torque,Flywheel / counterweight lock nut,400-500 N-m (289-362 ft-lb),,"S-002,S-003",S-002 p.1-48; S-003 T:7,primary,,,,A/T uses counterweight + drive plate.
SP-163,Torque,Drive plate to torque converter,3.5-5.0 m-kg (25-36 ft-lb); drive plate to converter weight 4.2-6.3 m-kg (30-46 ft-lb),,S-003,T:7,primary,,,,
SP-164,Torque,Converter housing to engine,3.2-4.7 m-kg (23-34 ft-lb); housing to transmission case 4.5-5.5 m-kg (33-40 ft-lb),,S-003,T:7,primary,,,,
SP-166,Torque,Oil pan bolts,"8-11 N-m (6-8 ft-lb), evenly",,"S-002,S-003",S-002 p.1-51; S-003 T:7,primary,,,,
SP-167,Torque,Oil pump sprocket nut,32-47 N-m (23-34 ft-lb),,S-002,p.1-49,primary,,,,1980 FSM 3.0-3.5 m-kg (22-25 ft-lb).
SP-168,Torque,Water pump,18-27 N-m (13-20 ft-lb),,S-002,p.1-56,primary,,,,
SP-169,Torque,Intake manifold,1.9-2.6 m-kg (14-19 ft-lb),,S-003,T:7,primary,,,,
SP-170,Torque,Oil cooler pipe (front cover side / cooler side),40-50 N-m (29-36 ft-lb) / 60-85 N-m (43-61 ft-lb),,S-002,p.1-56,primary,,,,
SP-171,Torque,Ring gear bolts,75-85 N-m (51-61 ft-lb),,"S-002,S-003",S-002 p.9-21; S-003 T:7,primary,,,,
SP-172,Torque,Pinion (companion flange) nut,"130 N-m (94 ft-lb) then tighten to set preload, max 180 N-m (130 ft-lb)",,"S-002,S-003","S-002 p.9-19; S-003 T:7 (13-18 m-kg, 94-130 ft-lb)",primary,,,,Collapsible spacer - replace if 180 N-m exceeded.
SP-173,Torque,Propeller shaft yoke to axle companion flange,3.5-3.8 m-kg (25-27 ft-lb),,S-003,T:7,primary,,,,
SP-174,Torque,Steering wheel nut,3.0-4.0 m-kg (22-29 ft-lb),,S-003,T:7,primary,,,other-car,
SP-175,Torque,Pitman arm to sector shaft,15-18 m-kg (108-130 ft-lb),,S-003,T:7,primary,,,,
SP-176,Torque,Tie rod / idler / pitman to centre link and knuckle arm,3.0-4.5 m-kg (22-33 ft-lb); tie-rod lock nut 7-8 m-kg (51-58 ft-lb),,S-003,T:7-8,primary,,,,
SP-177,Torque,Steering gear housing / idler bracket to frame,4.4-5.5 m-kg (32-40 ft-lb),,S-003,T:7,primary,,,,
SP-178,Torque,Suspension arm ball joint to knuckle arm,6-8 m-kg (43-58 ft-lb),,S-003,T:8,primary,,,,
SP-179,Torque,Knuckle arm to strut,6.4-9.5 m-kg (46-69 ft-lb),,S-003,T:8,primary,,,,
SP-180,Torque,Tension rod to lower arm / to bracket,5.5-6.9 m-kg (40-50 ft-lb) / 11-15 m-kg (80-108 ft-lb),,S-003,T:8,primary,,,,1985 FSM p.13-12: tension rod nut 110-150 N-m (80-108 ft-lb) agrees.
SP-181,Torque,Front stabilizer bar to lower arm,2.4-3.5 m-kg (17-25 ft-lb),,S-003,T:8,primary,,,other-car,
SP-182,Torque,Rear upper / lower links and Watt link bracket,7.7-10.5 m-kg (56-76 ft-lb),,"S-003,S-002",S-003 T:8; S-002 p.13-15,primary,,,,Tighten with vehicle at ride height.
SP-183,Torque,Rear shock absorber to axle / Watt link to axle,6.5-8.2 m-kg (47-59 ft-lb),,"S-003,S-002",S-003 T:8; S-002 p.13-14,primary,,,,
SP-184,Torque,Brake tube union nut / flexible hose union,1.3-2.2 m-kg (9-16 ft-lb) / 2.2-2.7 m-kg (16-20 ft-lb),,S-003,T:8,primary,,,other-car,
SP-185,Torque,"Standard bolts, 6T grade",8 mm 1.6-2.3 m-kg (12-17 ft-lb); 10 mm 3.2-4.7 (23-34); 12 mm 5.6-8.2 (41-59); 14 mm 7.7-10.5 (56-76),,S-003,T:8,primary,,,,Unless otherwise specified.
SP-186,Torque,"Standard bolts, 8T grade",8 mm 1.8-2.7 m-kg (13-20 ft-lb); 10 mm 3.7-5.5 (27-40); 12 mm 6.4-9.5 (46-69); 14 mm 10.4-14.0 (75-101),,S-003,T:8,primary,,,,
SP-187,Torque,Seat-belt anchor bolts,39-55 N-m (28.2-39.8 ft-lb),,S-002,p.0-25,primary,,,,
SP-188,Bulbs,"Headlamp, standard sealed beam (S trim)",50/40 W x 2,W,S-001,PDF p.20 (sect E),primary,lighting,,other-car,"Retractable round sealed beams; trade number not printed. Aftermarket charts list H6024-size units (S-019, unverified)."
SP-189,Bulbs,"Headlamp, halogen (GS/GSL standard)",60/50 W x 2,W,"S-001,S-004",S-001 PDF p.20 ('halogen lights 60/50W'); S-004 p.15,primary,lighting,,,GS has halogen headlamps as standard equipment. Sealed-beam halogen H6054-type per S-019 (unverified).
SP-190,Bulbs,High-beam indicator (cluster),3.4 W,W,S-001,PDF p.20,primary,lighting,,,
SP-191,Bulbs,Headlamp retractor indicator (cluster),3.4 W,W,S-001,PDF p.20,primary,lighting,,,
SP-192,Bulbs,Instrument (meter) illumination,"3.4 W each, dimmer controlled (instrument panel light control E-05)",W,S-001,PDF p.20,primary,lighting,,,Quantity not stated on the diagram.
SP-193,Bulbs,Heater control illumination,1.4 W,W,S-001,PDF p.20,primary,lighting,,,
SP-194,Bulbs,Select-lever (A/T) illumination,3.4 W,W,S-001,PDF p.20,primary,lighting,,,
SP-195,Bulbs,Switch panel illumination,3.4 W,W,S-001,PDF p.20,primary,lighting,,,
SP-196,Bulbs,Cigarette lighter illumination,3.4 W,W,S-001,PDF p.20,primary,lighting,,,
SP-197,Bulbs,Radio illumination / stereo illumination,3.4 W / 1.4 W,W,S-001,PDF p.20,primary,lighting,,,
SP-198,Bulbs,Front turn signal,27 W x 2,W,S-001,PDF p.22 (sect F),primary,lighting,,,"Aftermarket trade number 1157 (dual-filament park/turn) per S-019, unverified."
SP-199,Bulbs,Rear turn signal,27 W x 2,W,S-001,PDF p.22,primary,lighting,,,S-019 lists 1156 (single filament).
SP-200,Bulbs,Turn signal indicators (cluster),3.4 W x 2,W,S-001,PDF p.22,primary,lighting,,,
SP-201,Bulbs,Stop / tail,27/8 W x 2 per side (4 bulbs),W,S-001,PDF p.22,primary,lighting,,,Dual filament; S-019 lists 1157. Stop-lamp checker monitors these.
SP-202,Bulbs,Back-up lights,27 W x 2,W,S-001,PDF p.22,primary,lighting,,,S-019 lists 1156.
SP-203,Bulbs,Licence plate lights,6 W x 2,W,S-001,PDF p.22,primary,lighting,,,S-019 lists 89.
SP-204,Bulbs,Front parking lights,8 W x 2,W,S-001,PDF p.22,primary,lighting,,,"The same bulb as the front turn signal (SP-198): one dual-filament 1157 (BAY15d, 27/8 W) per side - F-05 / F-06 'Front turn & parking light', one 3-wire connector (RG park, GR/GO turn, B ground) on the 1982 diagram p.22 (01-REFERENCE factory-circuits/1982RX7WiringDiagram.pdf); Atkins sells 0000-11-1157A for 79-91. Corrected 2026-09-23 - the earlier note said a separate bulb"
SP-205,Bulbs,Front side marker,3.8 W x 2,W,S-001,PDF p.22,primary,lighting,,,S-019 lists 194.
SP-206,Bulbs,Rear side marker,3.8 W x 2,W,S-001,PDF p.22,primary,lighting,,,
SP-207,Bulbs,Interior (dome) light,5 W,W,S-001,PDF p.26 (sect H),primary,lighting,,,Combined interior and spot (map) light unit H-06. S-019 lists DE3021 festoon.
SP-208,Bulbs,Spot (map) light,6 W,W,S-001,PDF p.26,primary,lighting,,,GS/GSL with sunroof got the map light in the dome assembly (S-006 PDF p.21 (printed 27)).
SP-209,Bulbs,Luggage compartment (cargo) light,5 W,W,S-001,PDF p.26,primary,lighting,,,
SP-210,Bulbs,Glove box light,3.4 W,W,S-001,PDF p.26,primary,lighting,,,
SP-211,Bulbs,Seat belt warning light,3.4 W,W,S-001,PDF p.26,primary,lighting,,,
SP-212,Bulbs,Ignition key cylinder illumination,3.4 W,W,S-001,PDF p.26,primary,lighting,,,
SP-213,Bulbs,"Warning lights (cluster): brake, stop-lamp, alternator, coolant level",1.4 W each,W,S-001,PDF p.16 (sect C),primary,lighting,,,
SP-214,Bulbs,Warning light (cluster): oil level,3.4 W,W,S-001,PDF p.16,primary,lighting,,,
SP-215,Fuses,"Fuse: TAIL (10 A, R wire, BATT)",10,A,S-001,PDF p.9,primary,electrical,,,"Feeds light switch for tail lights, licence lights, side marker lights, front parking lights (section F). 1982 schematic (S-001 PDF p.9). Feed: BATT = always live via MAIN link; ACC = ignition switch ACC; IG = ignition switch IG."
SP-216,Fuses,"Fuse: STOP / HORN (15 A, GW wire, BATT)",15,A,S-001,PDF p.9,primary,electrical,,,"Stop lights, horn relay and horns (section F)."
SP-217,Fuses,"Fuse: ROOM / warning (15 A, LY wire, BATT)",15,A,S-001,PDF p.9,primary,electrical,,,"Seat belt warning, ignition key reminder buzzer, ignition switch light, lights-off chime, auto clock, cigarette lighter, interior and spot light, luggage compartment light (section H)."
SP-218,Fuses,"Fuse: OPENER (20 A, LR wire, BATT)",20,A,S-001,PDF p.9,primary,electrical,,,"Glass hatch release solenoid, fuel-door release solenoid (section H)."
SP-219,Fuses,"Fuse: HAZARD / MIRROR (10 A, WG wire, BATT)",10,A,S-001,PDF p.9,primary,electrical,,,"Remote control mirrors (I), turn and hazard flasher battery feed (F), heater and A/C relay feed (G)."
SP-220,Fuses,"Fuse: BLOWER (20 A, LO wire, ACC)",20,A,S-001,PDF p.9,primary,electrical,,,"Heater and air conditioner blower, glove box light."
SP-221,Fuses,"Fuse: RADIO (20 A, LR wire, ACC)",20,A,S-001,PDF p.9,primary,electrical,,,"Radio and stereo, power antenna."
SP-222,Fuses,"Fuse: DEFOG (15 A, Y wire, ACC)",15,A,S-001,PDF p.9,primary,electrical,,,Rear window defroster.
SP-223,Fuses,"Fuse: WIPER (10 A, L wire, ACC)",10,A,S-001,PDF p.9,primary,electrical,,,Front wiper and washer; also LB feed to meters.
SP-224,Fuses,"Fuse: METER (10 A, LB wire, ACC)",10,A,S-001,PDF p.9,primary,electrical,,,Meters and warning lights (ACC side).
SP-225,Fuses,"Fuse: BACK-UP / METER (10 A, GY wire, IG)",10,A,S-001,PDF p.9 and p.16,primary,electrical,,,"Back-up lights, gauges and warning lights (instrument panel GY feed), turn-signal IG feed, auto clock, seat-belt warning."
SP-226,Fuses,"Fuse: ENGINE (15 A, BW wire, IG)",15,A,S-001,PDF p.9,primary,electrical,,,"Emission control unit, alternator IG, A/T kick-down. Ignition coils/igniters are fed directly from the BW line after the 0.5 sq link."
SP-227,Fuses,"Fuse: POWER WINDOW (30 A, BL wire, IG)",30,A,S-001,PDF p.9,primary,electrical,,,Power windows (GSL/option).
SP-228,Fuses,"Fuse: CRUISE (10 A, Br wire, IG)",10,A,S-001,PDF p.9,primary,electrical,,,Cruise control unit (option).
SP-229,Fuses,"Fuse: FUEL PUMP (10 A, BLg wire, IG via BW)",10,A,S-001,PDF p.9,primary,electrical,,,Electric fuel pump.
SP-230,Fuses,Fuse block total,15 fuses (10/15/20/30 A) plus spares; fusible links at front left suspension tower,,"S-001,S-002",S-001 PDF p.9; S-002 p.15-13,primary,electrical,,,"1985 12A block for comparison: HORN/STOP 15, HAZARD 15, TAIL/ILLUM 10, OPENER 20, CIGAR 10, RADIO/ANT 20, METER/BACK 15, ENGINE 20, POWER WIND 30, BLOWER 20, DEFOG 15, WIPER 15, R.WIPER 10, AIR COND 15."
SP-231,Charging,Ionic IC-12V40-S9H maximum charge voltage,14.6 +/- 0.1,V,S-036,,secondary,electrical,,not-fitted,"Part of 02-PROJECTS/01-electrical, not fitted - the car runs on its lead-acid battery. Recommended float 13.9 +/- 0.1 V. This matters because the factory regulated-voltage specification for this car is 14.2-15.2 V (SP-081) and the TOP of that band is above the pack's ceiling: in spec for the car and safe for the battery are not the same range. Which one this alternator sits in is measured at install (02-PROJECTS/01-electrical checks). If it is high the fix is the regulator, never the battery."
SP-232,Charging,Ionic IC-12V40-S9H discharge cut-off,8.0,V,S-036,,secondary,electrical,,not-fitted,"Part of 02-PROJECTS/01-electrical, not fitted. Output range 8.0-14.6 V. The BMS opens at the bottom of that, and a LiFePO4 gives no slow-crank warning first: it is fine, then it is dead, and it can need a charger to wake the BMS. That is what the monthly app check (PR-002) exists for and what the sleeping-current reading is measured against."
SP-233,Charging,Ionic IC-12V40-S9H self-heater - trigger and draw,not published,,S-036,,unverified,electrical,,not-fitted,"Part of 02-PROJECTS/01-electrical, not fitted. Self-heating LiFePO4 packs of this class energise the pad from an ACTIVE CHARGING SOURCE between about -20 and +5 C and stop at +10 C, and take nothing from the pack's own capacity when no charger is connected. If that holds for the S9H the heater is not on the sleeping budget at all. Ionic has not published the S9H's own figures; the electrical build has asked for them. Operating range -4 to 140 F (-20 to 60 C) is published."
SP-234,Dimensions,"Underbody: front frame basic holes (A), left to right",800 (31.50),mm (in),S-002,S-002 p.14-24 (Body checking dimensions),primary,body,,,A is the front frame basic hole on each side rail. Checked on the page: A to the opposite rear hole B is 2387.2 = sqrt(2250^2 + ((800+795)/2)^2)
SP-235,Dimensions,"Underbody: rear frame basic holes (B), left to right",795 (31.30),mm (in),S-002,S-002 p.14-24 (Body checking dimensions),primary,body,,,
SP-236,Dimensions,"Underbody: front frame basic hole (A) to rear frame basic hole (B), lengthwise",2250 (88.58),mm (in),S-002,S-002 p.14-24 (Body checking dimensions),primary,body,,,Diagonal A to the opposite B: 2387.2 (93.99)
SP-237,Dimensions,"Underbody: rear frame basic holes (C), left to right",890 (35.04),mm (in),S-002,S-002 p.14-24 (Body checking dimensions),primary,body,,,"The page gives B to C diagonals 1466.2 and 1343.6 and a 2990.4 / 3095.6 pair from a front rail point; their end points are not labelled unambiguously, so they are not transcribed - read them off the page"
SP-238,Dimensions,"Underbody: rear upper arm fixing holes (F), left to right",1048 (41.26),mm (in),S-002,S-002 p.14-24 (Body checking dimensions),primary,suspension,,,
SP-239,Dimensions,"Underbody: front frame basic hole (A) height, and fender fixing nut spacing","A 220 (8.66) above the datum line; front fender fixing nuts 1324 (52.13) apart; a third width on the same view, 1060 (41.73) - what it spans is not labelled, confirm on the page",mm (in),S-002,S-002 p.14-24 (Body checking dimensions),primary,body,,,
SP-240,Dimensions,"Underbody: l1 (engine side, from the front frame basic hole), automatic","right 897 (35.32), left 910 (35.83); lR 26.85 (1.06), lL 32.5 (1.28)",mm (in),S-002,S-002 p.14-24 (Body checking dimensions),primary,body,,,"Manual: right 932, left 945; lR 24, lL 35. The page's side view shows l1 measured lengthwise from A; what point it ends on is not legible - confirm on the page"
SP-241,Engine,Oil pressure at idle,70-180 (10-26),kPa (psi),S-038,S-038 T:2,primary,engine,PT001,,
SP-242,Engine,Oil pressure control valve (front cover) operating pressure,1100 (156),kPa (psi),S-038,S-038 T:2,primary,engine,PT001,,Pressure regulator valve (rear housing) 500 kPa (71.1 psi) at 3000 rpm; oil filter relief valve opens 80-120 kPa (11-17 psi).
SP-243,Engine,Oil metering pump delivery,2.0-2.4 cc per 6 min at 2000 rpm,,S-038,S-038 T:2,primary,engine,PT002,replaced,"Factory design: the metering pump feeds the carburettor. On this car the carburettor is gone and the pump is removed, its ports blocked off - the engine runs on premix."
SP-244,Engine,Eccentric shaft to alternator pulley ratio,1 : 2.08,,S-038,S-038 T:3,primary,engine,PT001,,Alternator rpm at a 750 rpm idle is about 1560.
SP-245,Charging,Alternator,"12 V 50 A, 12 poles; load test 36 A at 13.5 V below 2500 rpm; brush 18 mm, wear limit 8 mm",,S-038,S-038 T:3,primary,electrical,PT025,,Read the rating stamped on the car's own alternator before sizing the PMU charge input.
SP-246,Ignition,"Ignition coil primary resistance, leading and trailing",0.9 +/-0.09 at 20 C (68 F); coil type LB-84 or FTC-3,ohm,S-038,S-038 T:3,primary,ignition,PT013,,
SP-247,Ignition,Distributor air gap,0.5-0.9 (0.020-0.035),mm (in),S-038,S-038 T:3,primary,ignition,PT014,,
SP-248,Ignition,"Centrifugal advance, leading and trailing",starts 0 deg at 500 rpm; maximum 10 deg at 1750 rpm,,S-038,S-038 T:3,primary,ignition,PT014,,The distributor turns at eccentric-shaft speed on a rotary.
SP-249,Ignition,Vacuum advance,"leading: 0 deg at -100 mmHg, maximum 7.5 deg at -250 mmHg; trailing: 0 deg at -100 mmHg, maximum 15 deg at -400 mmHg",,S-038,S-038 T:3,primary,ignition,PT014,,
SP-250,Cooling,Cooling fan,"410 mm (16.1 in), 7 blades; fan drive below 800 rpm at 4200 engine rpm",,S-038,S-038 T:2,primary,cooling,,,Water pump pulley ratio 1 : 1.18 (T:2).
SP-251,Transmission,Torque converter stall speed,2350-2600 after break-in (2300-2550 during break-in),rpm,S-038,S-038 T:4,primary,transmission,PT054,,
SP-252,Steering,Steering gear oil,"API GL-4 SAE 90, 190 cc (0.31 US qt)",,S-038,S-038 T:6,primary,steering,PT053,,
SP-253,Brakes,Parking brake lever travel,6-8 notches at 100 N (22 lb),,S-038,S-038 T:6,primary,brakes,,,
SP-254,Torque,Steering wheel nut,40-50 N-m (29-36 ft-lb),,S-038,S-038 T:7,primary,,,,
SP-255,Torque,Front stabilizer bar to suspension lower arm,12-18 N-m (9-13 ft-lb),,S-038,S-038 T:8,primary,,,,
SP-256,Torque,Brake tube union nut / flexible hose union,13-22 N-m (9-16 ft-lb) / 25-35 N-m (18-25 ft-lb),,S-038,S-038 T:8,primary,,,,
SP-257,Charging,Output current test (1985 FSM),90% or more of nominal output at 2500-3000 engine rpm with all loads on,,S-002,"p.5-8, 5-9",primary,electrical,PT025,other-car,1985 12A procedure; no 1982 equivalent found. Nominal for this car is 50 A per S-038.
SP-258,Charging,"On-car check, key OFF (1980 FSM)",R terminal (BW) and L terminal (WB) both 0 V; B terminal equals battery voltage,V,S-045,80RX7_5 p.5:1-5:2,primary,electrical,PT025,other-car,1980 unit has the same R/L/B/F terminals as the 1982 diagram (S-001 p.10).
SP-259,Charging,"On-car check, key ON engine stopped: L terminal voltage",about 0.5 (1980); 1-3 is normal field current (1985); near battery voltage = fault,V,"S-045,S-002",S-045 5:1; S-002 p.5-7,primary,electrical,PT025,other-car,"1980 FSM: if L reads near battery voltage, ground F to the rear bracket - L falls = regulator fault, L stays = alternator fault."
SP-260,Charging,Alternator to mounting bracket clearance,"0.15 max; shim with 0.15, 0.3 or 0.5 mm adjust shims",mm,S-045,80RX7_5 p.5:5,primary,electrical,PT025,other-car,1980 FSM installation step.
SP-261,Charging,Replacement WAI Global 12278N (new),"12 V 50 A; OE N22118300 / N22118300R00, Mitsubishi A002T21278, A002T23477, A003T21278, A005T20374",A,S-073,Alternator / Generator,secondary,electrical,PT025,,
SP-262,Charging,Replacement Pure Energy 14550 / Remy 14307 (reman),"55 A; OE N22118300, 817318300B",A,S-073,Alternator / Generator,secondary,electrical,PT025,,55 A units are listed for this car as well as 50 A; read the stamp on the car's own unit.
SP-263,Charging,Stator winding,"three-phase, star (Y) connected, feeding a 6-diode bridge",,S-001,PDF p.10 (A-08 internal),primary,electrical,PT264,,Drawn inside the 'alternator with regulator' symbol.
SP-264,Charging,Stator tests,continuity between every pair of leads; no continuity from any lead to the core,,"S-002,S-045",S-002 p.5-15; S-045 5:3,primary,electrical,PT264,other-car,
SP-265,Charging,Stator lead unsoldering time limit,5 max (1985); 20 max (1980),s,"S-002,S-045",S-002 p.5-14; S-045 5:2,primary,electrical,PT264,other-car,Heat damages the rectifier; use a 200 W class iron.
SP-266,Charging,Rotor coil resistance between slip rings (1980 FSM),5-6,ohm,S-045,80RX7_5 p.5:4 (PDF p.6),primary,electrical,PT265,other-car,Differs from the 1985 figure 2.0-2.6 ohm (SP-082). No 1982 figure found.
SP-267,Charging,Rotor ground test,no continuity between either slip ring and the rotor core,,"S-002,S-045",S-002 p.5-15; S-045 5:4,primary,electrical,PT265,other-car,Rough slip rings: skim on a lathe or fine sandpaper (1985).
SP-268,Charging,Replacement 6202 bearing size,15 x 35 x 11 (bore x OD x width),mm,S-073,"Alternator / Generator End Bearing (Schaeffler 62022Z, front)",secondary,electrical,PT266,,Mazda number 9960-62-202 encodes the 6202 size; confirm on the old bearing.
SP-269,Charging,Replacement Timken 6202-2RS load ratings,"dynamic 7600, static 3700; grease speed limit 15000 rpm; 0.050 kg",N,S-077,product page,secondary,electrical,PT266,,
SP-270,Charging,Front bearing replacement,"press in with a socket on the outer race only; pre-lubricated, no lubrication",,"S-002,S-045",S-002 p.5-13; S-045 5:5,primary,electrical,PT266,other-car,
SP-271,Charging,Replacement 6201-2RS bearing size (slip-ring end),12 x 32 x 10 (bore x OD x width),mm,S-076,product page,secondary,electrical,PT267,,"RockAuto lists 6201-2RS types (SKF 62012RSJ, National 201CC) as commutator-end for this car; confirm on the old bearing."
SP-272,Charging,Replacement Timken 6201-2RS load ratings,"dynamic 6800, static 3000; grease speed limit 16000 rpm; 0.040 kg",N,S-076,product page,secondary,electrical,PT267,,
SP-273,Charging,Rear bearing fitting,"press on with the outer-race groove toward the slip rings; stopper spring in the groove, its raised part in the deepest (chamfered) part",,S-002,"p.5-13, 5-18",primary,electrical,PT267,other-car,
SP-274,Charging,Rectifier layout,"6 main diodes (3 positive, 3 negative) plus a 3-diode trio feeding L and the field",,"S-001,S-002",S-001 PDF p.10; S-002 p.5-6,primary,electrical,PT268,,
SP-275,Charging,Rectifier diode test,positive side: continuity only from diode lead to heat sink; negative side: only from heat sink to lead; trio: one direction only,,"S-002,S-045","S-002 p.5-16, 5-17; S-045 5:4",primary,electrical,PT268,other-car,
SP-276,Charging,Replacement AS-PL ARC5017,"6 x 25 A main diodes, 80 mm mounting centres, 93.2 mm OD; crosses Mazda N221-24-510, Mitsubishi A860T06070 / MD607568, Mobiletron RM-66",,S-075,product page,secondary,electrical,PT268,,
SP-277,Charging,"Regulator check: L to R continuity, coupler off",35-100 (continuity outside this = regulator fault),ohm,S-002,p.5-7,primary,electrical,PT269,other-car,
SP-278,Charging,Adjustment voltage at L terminal,"14.7 +/- 0.5 at 20 C, about 2500 rpm, charge current under 5 A",V,S-002,"p.5-9, 5-10",primary,electrical,PT269,other-car,Overcharge test: B terminal reaching 15.5 V or more = regulator fault.
SP-279,Charging,Replacement IM204 (Transpo-type),"12 V, A-circuit, R-L terminals, 14.6 V set; crosses N221-24-520, 8173-24-520, MD607372, MD607570",V,S-074,product page,secondary,electrical,PT269,,
SP-280,Charging,Replacement SMP VR163 / Wells 1V1083,"crosses N22124520, 817324520, MD607372, MD607570",,S-073,Voltage Regulator,secondary,electrical,PT269,,
SP-281,Charging,Number of brushes,2,,S-038,T:3,primary,electrical,PT270,,
SP-282,Charging,Brush spring pressure,3.15-4.26 (11-15 oz),N,S-038,T:3,primary,electrical,PT270,,
SP-283,Charging,Brush spring pressure limit,"210 g (7.4 oz) or less = replace; new 300-440 g, measured with the brush 2 mm out",g,"S-002,S-045",S-002 p.5-16; S-045 5:5,primary,electrical,PT270,other-car,1980 gives the same 210 g limit and 315-426 g standard.
SP-284,Charging,Brush soldering,pigtail soldered so the wear-limit line stands 2-3 out of the holder,mm,S-002,p.5-14,primary,electrical,PT270,other-car,
