id,part,terminal,function,inside,wire,to,source,page,note,checked
PT301-X-16_F,PT301,X-16 F,wiper ignition feed,feeds the intermittent relay coil and timer,L,X-04 10 A wiper fuse; also front wiper motor D-02 L,S-001,18; 30,"letter from the 1985 CPU table (S-002 p15-12), which has the same colours in the same X-16 positions; from S-001; confirm on the car",
PT301-X-16_G,PT301,X-16 G,battery feed,constant supply to the reminder/timer circuits,LY,X-04 15 A fuse (WR side),S-001,26; 30,"the 1985 table gives this cavity as Y (battery); letter from the 1985 CPU table (S-002 p15-12), which has the same colours in the same X-16 positions; from S-001; confirm on the car",
PT301-X-16_H,PT301,X-16 H,washer signal,washer input to the intermittent timer (wipe while washing),LY,front washer motor D-01 / washer switch D-03 (LY),S-001,18; 30,"letter from the 1985 CPU table (S-002 p15-12), which has the same colours in the same X-16 positions; from S-001; confirm on the car",
PT301-X-16_J,PT301,X-16 J,ground,common ground of the unit,B,X-13 (under dashboard left),S-001,18; 22; 30,"letter from the 1985 CPU table (S-002 p15-12), which has the same colours in the same X-16 positions; from S-001; confirm on the car",
PT301-X-16_K,PT301,X-16 K,light switch,lights-on reminder input,RG,combination switch light (tail) circuit RG,S-001,26; 30,"letter from the 1985 CPU table (S-002 p15-12), which has the same colours in the same X-16 positions; from S-001; confirm on the car",
PT301-X-16_L,PT301,X-16 L,intermittent wiper output,intermittent relay contact output,LG,"combination switch D-03 (LG), then motor LO in INT",S-001,18; 30,"letter from the 1985 CPU table (S-002 p15-12), which has the same colours in the same X-16 positions; from S-001; confirm on the car",
PT301-X-16_M,PT301,X-16 M,chime drive,reminder oscillator / buzzer output,G,chime X-06 in the meter; also oscillator C-10 G,S-001,16; 26; 30,"letter from the 1985 CPU table (S-002 p15-12), which has the same colours in the same X-16 positions; from S-001; confirm on the car",
PT301-X-16_N,PT301,X-16 N,key reminder switch,key-in input,G,ignition key reminder switch H-03 (G),S-001,26; 30,"letter from the 1985 CPU table (S-002 p15-12), which has the same colours in the same X-16 positions; from S-001; confirm on the car",
PT301-X-16_O,PT301,X-16 O,door switch,door-open input,RY,door switches H-07/H-08 and interior light H-06 (RY),S-001,26; 30,"letter from the 1985 CPU table (S-002 p15-12), which has the same colours in the same X-16 positions; from S-001; confirm on the car",
PT301-X-16_P,PT301,X-16 P,seat belt switch,seat belt timer input (other side),BrW,seat belt switch H-04 via X-11/X-02,S-001,26; 30,"letter from the 1985 CPU table (S-002 p15-12), which has the same colours in the same X-16 positions; from S-001; confirm on the car",
PT301-X-16_Q,PT301,X-16 Q,flasher input,flasher unit supply from the hazard/turn switch,GW,combination switch F-02 (GW),S-001,22; 30,"letter from the 1985 CPU table (S-002 p15-12), which has the same colours in the same X-16 positions; from S-001; confirm on the car",
PT301-X-16_R,PT301,X-16 R,flasher output,flasher unit pulsed output,GB,"combination switch F-02 (GB), then GR/GO to the lamps",S-001,22; 30,"letter from the 1985 CPU table (S-002 p15-12), which has the same colours in the same X-16 positions; from S-001; confirm on the car",
PT301-X-16_S_1-way,PT301,X-16 S (1-way),seat belt warning light,seat belt timer output (ground side of the lamp),GB,seat belt warning light 3.4 W in the meter (X-05 GB),S-001,26; 30,"letter from the 1985 CPU table (S-002 p15-12), which has the same colours in the same X-16 positions; from S-001; confirm on the car",
PT305-G,PT305,G,chime output,oscillator output,G,chime X-06 (section H) and CPU X-16 G,S-001,16,from S-001; confirm on the car,
PT305-YB,PT305,YB,coolant level warning line,input,YB,coolant level warning light (1.4 W) and coolant level unit C-07,S-001,16,from S-001; confirm on the car,
PT305-LR,PT305,LR,feed,supply from the choke and check relay,LR,choke and check relay (section B),S-001,16,from S-001; confirm on the car,
PT305-YR,PT305,YR,oil level warning line,input,YR,"oil level warning light (3.4 W, X-06) and oil level sensor C-06 (BG via X-01)",S-001,16,from S-001; confirm on the car,
PT305-B,PT305,B,ground,,B,X-13,S-001,16,from S-001; confirm on the car,
PT562-BR,PT562,BR,warning output,"float switch contact, closed at low fluid level",BR,"brake warning light 1.4 W via X-11, X-02, X-05; parking brake switch C-04 and checker C-03 on the same line",S-001,16,from S-001; confirm on the car,
PT562-B,PT562,B,ground,other side of the float switch,B,X-13,S-001,16,from S-001; confirm on the car,
PT036-Y,PT036,Y,feed,switch contact input,Y,X-04 15 A fuse (ACC) via X-02,S-001,24,from S-001; confirm on the car,
PT036-LG,PT036,LG,output,switch contact output,LG,"rear window defroster grid G-25 via X-02/X-03, and indicator lamp 3.4 W in the meter via X-05",S-001,24,from S-001; confirm on the car,
PT037-LG,PT037,LG,feed,"grid bus bar, positive",LG,defroster switch G-24,S-001,24,from S-001; confirm on the car,
PT037-B,PT037,B,ground,"grid bus bar, negative",B,X-15 via D-07 (or X-18),S-001,24,from S-001; confirm on the car,
PT473-horn_contact,PT473,horn contact,horn relay coil ground,momentary contact to ground through the steering shaft,GL,horn relay F-16 (GL) via column connector E-01,S-001,22,from S-001; confirm on the car,
PT614-X-05_GY,PT614,X-05 GY,Ignition feed,"common + of gauges, meters, warning lamps and voltage regulator",GY,"X-04 10 A fuse, BY from ignition switch IG (X-08)",S-001,16,from S-001; confirm on the car,
PT614-X-05_B_two_cavities,PT614,X-05 B (two cavities),Ground,regulator and meter/indicator returns,B,X-13 ground,S-001,16,from S-001; confirm on the car,
PT614-X-05_BrY,PT614,X-05 BrY,Oil pressure gauge signal,"oil pressure gauge coil, fed GY unregulated",BrY,C-09 oil pressure gauge unit via X-01,S-001,16,from S-001; confirm on the car,
PT614-X-05_Y,PT614,X-05 Y,Fuel gauge signal,fuel gauge coil from PT624 output,Y,C-01 fuel tank unit via X-03,S-001,16,from S-001; confirm on the car,
PT614-X-05_YW,PT614,X-05 YW,Water temp gauge signal,temp gauge coil from PT624 output,YW,C-02 water temp gauge unit via X-01,S-001,16,from S-001; confirm on the car,
PT614-X-05_BR,PT614,X-05 BR,Brake warning lamp (1.4 W) return,lamp from GY,BR,"C-03 brake warning checker, C-04 parking brake switch, C-05 fluid level sensor",S-001,16,from S-001; confirm on the car,
PT614-X-05_GL,PT614,X-05 GL,Stop light warning lamp (1.4 W) return,lamp from GY; diode to the alternator lamp circuit,GL,F-03 stop light checker (section F),S-001,16,from S-001; confirm on the car,
PT614-X-05_YL,PT614,X-05 YL,Alternator warning lamp (1.4 W) return,lamp from GY; bulb-check diodes from stop and oil level lamps,YL,choke and check relay (section B) and C-07 coolant level unit,S-001,16,from S-001; confirm on the car,
PT614-X-05_YB,PT614,X-05 YB,Coolant level warning lamp (1.4 W) return,lamp from GY,YB,C-07 coolant level unit,S-001,16,from S-001; confirm on the car,
PT614-X-05_GB,PT614,X-05 GB,Seat belt warning lamp (3.4 W) return,seat belt warning lamp from GY,GB,X-16 control processing unit (section H),S-001,26,from S-001 section H; confirm on the car,
PT614-X-05_LG,PT614,X-05 LG,Rear window defroster indicator lamp (3.4 W) feed,indicator lamp to B at X-05,LG,G-24 rear window defroster switch output via X-02 (section G),S-001,24,from S-001 section G; confirm on the car,
PT614-X-06_YG_tach,PT614,X-06 YG (tach),Tachometer signal,tachometer input,YG,"ignition coil (T) B-18 negative, section B",S-001,16,from S-001; confirm on the car,
PT614-X-06_YG_retractor,PT614,X-06 YG (retractor),Headlight retractor indicator (3.4 W) feed,lamp to B at X-05,YG,E-03/E-04 retractable headlight motors,S-001,20,from S-001; confirm on the car,
PT614-X-06_RL_illumination,PT614,X-06 RL (illumination),Meter illumination (3.4 W) feed,illumination lamps to B at X-06,RL,E-05 instrument panel light control via X-02,S-001,20,from S-001; confirm on the car,
PT614-X-06_RL_high_beam,PT614,X-06 RL (high beam),High beam indicator (3.4 W) feed,lamp to B at X-05,RL,E-01 combination switch DIMMER high output,S-001,20,from S-001; confirm on the car,
PT614-X-06_B,PT614,X-06 B,Illumination ground,meter illumination return,B,X-13 via X-02,S-001,20,from S-001; confirm on the car,
PT614-X-06_YR,PT614,X-06 YR,Oil level warning lamp (3.4 W) return,lamp from GY; diode to alternator lamp circuit,YR,C-10 oscillator and C-06 oil level sensor via X-01,S-001,16,from S-001; confirm on the car,
PT614-X-06_GR,PT614,X-06 GR,Left turn indicator,indicator lamp,GR,F-02 turn switch left output,S-001,30,"colour from S-001 p30, function from the section F write-up; confirm on the car",
PT614-X-06_GO,PT614,X-06 GO,Right turn indicator,indicator lamp,GO,F-02 turn switch right output,S-001,30,"colour from S-001 p30, function from the section F write-up; confirm on the car",
PT614-X-06_RG,PT614,X-06 RG,unknown,function not shown in S-001 section C; confirm on the car,RG,,S-001,30,from S-001; confirm on the car,
PT614-X-06_G,PT614,X-06 G,Chime output,chime (lights-off / key reminder),G,"X-16 control processing unit and C-10 oscillator (sections H, C)",S-001,26,from S-001 section H; confirm on the car,
PT614-X-06_LY,PT614,X-06 LY,Chime supply,chime,LY,"LY from the X-04 15 A fuse (battery side, section H)",S-001,26,from S-001 section H; confirm on the car,
PT620-T,PT620,+,Supply,tachometer electronics,GY,IG bus inside the cluster (X-05 GY),S-001,16,from S-001; confirm on the car,
PT620--,PT620,-,Ground,,B,X-05 B to X-13,S-001,16,from S-001; confirm on the car,
PT620-signal,PT620,signal,Pulse input,,YG,X-06 to ignition coil (T) negative,S-001,16,from S-001; confirm on the car,
PT623-fuel,PT623,fuel +,Regulated supply,fuel gauge heater coil,,PT624 output (internal),S-001,16,from S-001; confirm on the car,
PT623-fuel_-,PT623,fuel -,To sender,fuel gauge heater coil,Y,X-05 to C-01 fuel tank unit,S-001,16,from S-001; confirm on the car,
PT623-temp,PT623,temp +,Regulated supply,temperature gauge heater coil,,PT624 output (internal),S-001,16,from S-001; confirm on the car,
PT623-temp_-,PT623,temp -,To sender,temperature gauge heater coil,YW,X-05 to C-02 water temp gauge unit,S-001,16,from S-001; confirm on the car,
PT624-IN,PT624,IN,Ignition supply,regulator input,GY,cluster IG bus from X-05 GY,S-001,16,from S-001; confirm on the car,
PT624-OUT,PT624,OUT,Regulated output,,,fuel and water temperature gauges only (internal),S-001,16,from S-001; confirm on the car,
PT624-E,PT624,E,Ground,,B,X-05 B to X-13,S-001,16,from S-001; confirm on the car,
PT625-RG,PT625,RG,Input from light switch,rheostat top,RG,E-01 combination switch LIGHT output via X-02; also radio/stereo lamps,S-001,20,from S-001; confirm on the car,
PT625-RL,PT625,RL,Dimmed output,rheostat wiper,RL,"meter (X-06), heater, select lever, switch panel and lighter illumination",S-001,20,from S-001; confirm on the car,
PT625-B,PT625,B,Ground,,B,X-02 to X-13,S-001,20,from S-001; confirm on the car,
PT630-LY,PT630,LY,feed,chime sounder + side,LY,X-04 15 A constant via X-06,S-001,PDF p.26,no pin letter in S-001; from S-001; confirm on the car,
PT630-G,PT630,G,trigger (switched to ground),chime sounder - side,G,Control Processing Unit X-16 and C-10 oscillator,S-001,"PDF p.26, p.16",no pin letter in S-001; from S-001; confirm on the car,
PT631-LY,PT631,LY,element feed,"heating element, closes when the knob is pushed in",LY,X-04 15 A constant,S-001,PDF p.26,H-09; from S-001; confirm on the car,
PT631-B,PT631,B,ground,element return and body,B,X-02 to ground X-13,S-001,PDF p.26,H-09; from S-001; confirm on the car,
PT633-RL,PT633,RL,illumination feed,3.4 W bulb,RL,E-05 instrument panel light control (dimmer) via X-02,S-001,"PDF p.20, p.26",H-09 RL cavity; bulb returns to B; from S-001; confirm on the car,
PT634-WG,PT634,WG,feed (switch c),common to both direction contacts,WG,X-04 10 A constant via X-12,S-001,PDF p.28,I-01; letter from the 1985 manual (S-002 p.15-42); from S-001; confirm on the car,
PT634-B,PT634,B,ground (switch a),return for the reversing contacts,B,"I-04 splice, X-02, X-13",S-001,PDF p.28,I-01; from S-001; confirm on the car,
PT634-Lg,PT634,Lg,LH mirror motor (switch b),"motor lead, reversed for L/R and U/D",Lg,"I-03 LH mirror via X-02, I-02",S-001,PDF p.28,I-01; from S-001; confirm on the car,
PT634-LgR,PT634,LgR,RH mirror motor (switch e),"motor lead, reversed",LgR,I-05 RH mirror via I-04 (Lg at the mirror),S-001,PDF p.28,I-01; from S-001; confirm on the car,
PT634-LgB,PT634,LgB,motor common (switch d),"other motor lead, both mirrors",LgB,I-03 and I-05,S-001,PDF p.28,I-01; from S-001; confirm on the car,
PT634-LgY,PT634,LgY,solenoid feed (switch f),energised for UP/DOWN through diodes,LgY,"solenoid in I-03 and I-05, other end B",S-001,PDF p.28,I-01; from S-001; confirm on the car,
PT635-LR,PT635,LR,feed,momentary contact,LR,X-04 20 A constant via X-02,S-001,PDF p.26,H-15; two of four cavities not used; from S-001; confirm on the car,
PT635-GB,PT635,GB,output,momentary contact,GB,"H-16 fuel-door solenoid via X-12, X-03; solenoid grounds at X-15",S-001,PDF p.26,H-15; from S-001; confirm on the car,
PT636-LG,PT636,LG,relay coil ground side,contact to B,LG,"G-01 power antenna relay via X-11, X-02",S-001,PDF p.24,G-13 (without radio); from S-001; confirm on the car,
PT636-B,PT636,B,ground,contact,B,"X-11, X-02, X-13",S-001,PDF p.24,G-13; from S-001; confirm on the car,
PT637-BG,PT637,BG,rear wiper,contact to B,BG,"D-05 rear wiper motor via X-11, X-12, X-03, D-07",S-001,PDF p.18,D-06; from S-001; confirm on the car,
PT637-LW,PT637,LW,rear washer,contact to B,LW,D-04 rear washer motor (L at the motor) via X-11,S-001,PDF p.18,D-06; from S-001; confirm on the car,
PT637-B,PT637,B,ground,common of both contacts,B,"X-11, X-02, X-13",S-001,PDF p.18,D-06; from S-001; confirm on the car,
PT638-R_2-pin,PT638,R (2-pin),tail/park feed,LIGHT section input,R,X-04 10 A off WR,S-001,"PDF p.20, p.26",E-01 2-pin; from S-001; confirm on the car,
PT638-WG_2-pin,PT638,WG (2-pin),headlight feed,LIGHT/DIMMER input,WG,0.3 sq fusible link X-07,S-001,PDF p.20,E-01 2-pin; from S-001; confirm on the car,
PT638-RG,PT638,RG,PARK/HEAD output,LIGHT section,RG,"tail, parking, side-marker, license lamps and E-05 panel light control",S-001,"PDF p.20, p.22",E-01 6-pin; from S-001; confirm on the car,
PT638-RW,PT638,RW,light-switch output,LIGHT section,RW,E-02 retractable headlight switch via X-02,S-001,PDF p.20,E-01 6-pin; from S-001; confirm on the car,
PT638-R_6-pin,PT638,R (6-pin),HEAD output,LIGHT section,R,"R bus: retractor motors, E-02, headlight cleaner",S-001,PDF p.20,E-01 6-pin; from S-001; confirm on the car,
PT638-RL,PT638,RL,"headlight beam feed (the 3.4 W high-beam indicator hangs on this wire, so likely HIGH)",DIMMER,RL,"E-08/E-09 headlights and the 3.4 W high-beam indicator (X-06, X-05)",S-001,PDF p.20,"E-01 6-pin; S-001 names no beam per wire: the indicator is drawn on RL, not RY; from S-001; confirm on the car which wire is high",
PT638-RY,PT638,RY,"headlight beam feed (likely LOW, by elimination: the indicator is on RL)",DIMMER/PASSING,RY,E-08/E-09 headlights,S-001,PDF p.20,E-01 6-pin; S-001 names no beam per wire; from S-001; confirm on the car which wire is high,
PT638-WG_F-02,PT638,WG (F-02),hazard feed,HAZARD section,WG,X-04 10 A constant,S-001,PDF p.22,F-02; from S-001; confirm on the car,
PT638-GY,PT638,GY,turn feed,TURN section,GY,X-04 10 A ignition (BY),S-001,PDF p.22,F-02; from S-001; confirm on the car,
PT638-GW,PT638,GW,to flasher,HAZARD/TURN,GW,Control Processing Unit (flasher) X-16,S-001,PDF p.22,F-02; from S-001; confirm on the car,
PT638-GB,PT638,GB,from flasher,HAZARD/TURN,GB,Control Processing Unit (flasher) X-16,S-001,PDF p.22,F-02; from S-001; confirm on the car,
PT638-GR,PT638,GR,left turn output,TURN,GR,"F-05, F-07 and LH indicator",S-001,PDF p.22,F-02; from S-001; confirm on the car,
PT638-GO,PT638,GO,right turn output,TURN,GO,"F-06, F-08 and RH indicator",S-001,PDF p.22,F-02; from S-001; confirm on the car,
PT640-B,PT640,B,ground,switch common,B,X-13,S-001,PDF p.18,D-03; from S-001; confirm on the car,
PT640-LW,PT640,LW,wiper LOW,WIPER section,LW,D-02 front wiper motor LO,S-001,PDF p.18,D-03; from S-001; confirm on the car,
PT640-LR,PT640,LR,wiper HIGH,WIPER section,LR,D-02 front wiper motor HI,S-001,PDF p.18,D-03; from S-001; confirm on the car,
PT640-LO,PT640,LO,intermittent,WIPER section,LO,Control Processing Unit X-16,S-001,PDF p.18,D-03; from S-001; confirm on the car,
PT640-LG,PT640,LG,intermittent/one-touch,WIPER section,LG,Control Processing Unit X-16,S-001,PDF p.18,D-03; from S-001; confirm on the car,
PT640-LY,PT640,LY,washer,WASHER push contact,LY,D-01 front washer motor and Control Processing Unit,S-001,PDF p.18,D-03; from S-001; confirm on the car,
PT642-GL,PT642,GL,horn relay coil ground,momentary contact to the column ground,GL,F-16 horn relay via E-01,S-001,PDF p.22,E-01 6-pin; from S-001; confirm on the car,
PT644-RY_RH,PT644,RY (RH),door-open ground,plunger contact to body,RY,H-06 interior/spot light and Control Processing Unit via X-03,S-001,PDF p.26,"H-07; single terminal, grounds through the mount; from S-001; confirm on the car",
PT644-RY_LH,PT644,RY (LH),door-open ground,plunger contact to body,RY,H-06 interior/spot light and Control Processing Unit via X-03,S-001,PDF p.26,H-08; from S-001; confirm on the car,
PT645-BR,PT645,BR,lever-up ground,contact to body,BR,"brake warning light (1.4 W) in the meter via X-11, X-02, and C-03 checker",S-001,PDF p.16,"C-04 parking brake switch, only if PT645 is that switch; from S-001; confirm on the car",
PT647-single_spade,PT647,+ (single spade),feed from horn relay,horn coil and contact breaker to the case,GY,"horn relay F-16 output, spliced to both horns",S-001,p22-23,from S-001; which horn (F-09 LH or F-10 RH) is high tone is not shown; confirm on the car,
PT647-case,PT647,case,ground,coil return,,body through the mounting bracket,S-001,p22,not a wire; from S-001; confirm on the car,
PT648-single_spade,PT648,+ (single spade),feed from horn relay,horn coil and contact breaker to the case,GY,"horn relay F-16 output, spliced to both horns",S-001,p22-23,from S-001; which horn (F-09 LH or F-10 RH) is high tone is not shown; confirm on the car,
PT648-case,PT648,case,ground,coil return,,body through the mounting bracket,S-001,p22,not a wire; from S-001; confirm on the car,
PT646-I-06_BL_LH,PT646,I-06 BL (LH),+12 V switched (IG),feeds the up/down contacts,BL,30 A fuse X-04 via X-12/X-11; LH and RH switches share BL through I-06/I-07,S-001,p28,from S-001; confirm on the car,
PT646-I-06_B_LH,PT646,I-06 B (LH),ground,rest contacts: both motor leads to ground when released,B,"X-11, X-02, ground X-13",S-001,p28,rest-to-ground reading is from the 1985 check (S-002 15-37) and the S-001 symbol; confirm on the car,
PT646-I-06_RL_LH,PT646,I-06 RL (LH),motor lead,"to BL in one direction, to B otherwise; which lead is UP not shown",RL,LH motor (RL becomes R at I-08),S-001,p28,from S-001; confirm on the car,
PT646-I-06_GL_LH,PT646,I-06 GL (LH),motor lead,"to BL in one direction, to B otherwise; which lead is UP not shown",GL,LH motor (GL becomes G at I-08),S-001,p28,from S-001; confirm on the car,
PT646-I-07_BL_RH,PT646,I-07 BL (RH),+12 V switched (IG),feeds the up/down contacts,BL,30 A fuse X-04 via X-12/X-11; LH and RH switches share BL through I-06/I-07,S-001,p28,from S-001; confirm on the car,
PT646-I-07_B_RH,PT646,I-07 B (RH),ground,rest contacts: both motor leads to ground when released,B,"X-11, X-02, ground X-13",S-001,p28,rest-to-ground reading is from the 1985 check (S-002 15-37) and the S-001 symbol; confirm on the car,
PT646-I-07_R_RH,PT646,I-07 R (RH),motor lead,"to BL in one direction, to B otherwise; which lead is UP not shown",R,RH motor,S-001,p28,from S-001; confirm on the car,
PT646-I-07_G_RH,PT646,I-07 G (RH),motor lead,"to BL in one direction, to B otherwise; which lead is UP not shown",G,RH motor,S-001,p28,from S-001; confirm on the car,
PT650-B-28_BrB,PT650,B-28 BrB,+12 V common from main switch,"common end of VAC, VENT 1, VENT 2 coils",BrB,"C.C. main switch B-31 via X-11/X-12, also unit B-25",S-001,p14,from S-001; confirm on the car,
PT650-B-28_Br,PT650,B-28 Br,"VAC coil, switched to ground by the unit","VAC solenoid coil (25-35 ohm to common, 1985)",Br,cruise control unit B-25,S-001,p14,colour from S-001; coil name from the 1985 diagram S-002 15-49 (other year); confirm on the car,
PT650-B-28_BrY,PT650,B-28 BrY,"VENT 1 coil, switched to ground by the unit","VENT 1 solenoid coil (25-35 ohm to common, 1985)",BrY,cruise control unit B-25,S-001,p14,colour from S-001; coil name from the 1985 diagram S-002 15-49 (other year); confirm on the car,
PT650-B-28_BrR,PT650,B-28 BrR,"VENT 2 coil, switched to ground by the unit","VENT 2 solenoid coil (25-35 ohm to common, 1985)",BrR,cruise control unit B-25,S-001,p14,colour from S-001; coil name from the 1985 diagram S-002 15-49 (other year); confirm on the car,
PT652-B-25_BrB,PT652,B-25 BrB,power from main switch,,BrB,C.C. main switch B-31 / actuator common,S-001,p14,from S-001; confirm on the car,
PT652-B-25_B,PT652,B-25 B,ground,,B,X-13 ground,S-001,p14,from S-001; confirm on the car,
PT652-B-25_W,PT652,B-25 W,brake signal (stop lamp feed),,W,"stop light switch, section F",S-001,p14,from S-001; confirm on the car,
PT652-B-25_RY,PT652,B-25 RY,cancel input from stop and clutch switches,,RY,B-26 stop switch and B-27 clutch switch (Br fed),S-001,p14,from S-001; confirm on the car,
PT652-B-25_BY,PT652,B-25 BY,SET,,BY,combination switch B-30,S-001,p14,from S-001; confirm on the car,
PT652-B-25_RW,PT652,B-25 RW,COAST,,RW,combination switch B-30,S-001,p14,from S-001; confirm on the car,
PT652-B-25_BrW,PT652,B-25 BrW,RESUME,,BrW,combination switch B-30,S-001,p14,from S-001; confirm on the car,
PT652-B-25_BR,PT652,B-25 BR,vehicle speed pulses,,BR,"vehicle speed switch B-29 (in the speedometer), other side to ground",S-001,p14,from S-001; confirm on the car,
PT652-B-25_Br,PT652,B-25 Br,VAC coil drive,,Br,actuator B-28,S-001,p14,from S-001; confirm on the car,
PT652-B-25_BrY,PT652,B-25 BrY,VENT 1 coil drive,,BrY,actuator B-28,S-001,p14,from S-001; confirm on the car,
PT652-B-25_BrR,PT652,B-25 BrR,VENT 2 coil drive,,BrR,actuator B-28,S-001,p14,from S-001; confirm on the car,
PT652-B-25_BL,PT652,B-25 BL,A/T start/inhibitor signal,,BL,X-17; BY from section A on A/T cars,S-001,p14,"from S-001; BL function read from a dashed 'for A/T' line, uncertain; confirm on the car",
PT652-B-25,PT652,B-25 *,not used,,,,S-001,p14,from S-001; confirm on the car,
PT653-B-30_BY,PT653,B-30 BY,SET,momentary contact joins BY to B when pushed/turned to SET,BY,cruise control unit B-25 BY,S-001,p14,from S-001; confirm on the car,
PT653-B-30_RW,PT653,B-30 RW,COAST,momentary contact joins RW to B when pushed/turned to COAST,RW,cruise control unit B-25 RW,S-001,p14,from S-001; confirm on the car,
PT653-B-30_BrW,PT653,B-30 BrW,RESUME,momentary contact joins BrW to B when pushed/turned to RESUME,BrW,cruise control unit B-25 BrW,S-001,p14,from S-001; confirm on the car,
PT653-B-30_B,PT653,B-30 B,common ground,common side of all three contacts,B,X-13 ground,S-001,p14,from S-001; confirm on the car,
PT649-B-31_Br,PT649,B-31 Br,main switch feed,switch input,Br,"10 A fuse X-04 (IG, BW) via X-11/X-12",S-001,p14,main switch FA03-66-340 terminals; from S-001; confirm on the car,
PT649-B-31_BrB,PT649,B-31 BrB,main switch output,closed when ON; also feeds the 3.4 W indicator lamp,BrB,unit B-25 and actuator B-28,S-001,p14,main switch FA03-66-340 terminals; from S-001; confirm on the car,
PT649-B-31_B,PT649,B-31 B,ground,indicator lamp return,B,ground,S-001,p14,main switch FA03-66-340 terminals; from S-001; confirm on the car,
PT655-LgW_3-pole,PT655,LgW (3-pole),switched +12 V supply,to the power switch; when ON also feeds the LG antenna-relay contact,LgW,"G-03 stereo position, which passes LR (X-04 20 A, ACC) through its switch",S-001,p24 (Section G),"from S-001; confirm on the car; on a GS with no deck, what joins LR to LgW at G-03 is unknown",
PT655-RG,PT655,RG,illumination +,3.4 W lamp to case ground,RG,combination switch E-01 tail circuit (Section E p20),S-001,p24 (Section G),from S-001; confirm on the car,
PT655-LG_3-pole,PT655,LG (3-pole),power antenna up signal,"power switch contact, live while radio ON",LG,X-02 -> G-01 power antenna relay coil,S-001,p24 (Section G),from S-001; confirm on the car,
PT655-LG_4-pole,PT655,LG (4-pole),front LH speaker output,"output stage, left",LG,"X-02 -> G-05 front LH speaker (also G-11, unused with main amp)",S-001,p24 (Section G),from S-001; confirm on the car; polarity not marked,
PT655-LW,PT655,LW,front LH speaker output,"output stage, left",LW,"X-02 -> G-05 front LH speaker (also G-11, unused with main amp)",S-001,p24 (Section G),from S-001; confirm on the car; polarity not marked,
PT655-LY,PT655,LY,front RH speaker output,"output stage, right",LY,"G-06 front RH speaker (also G-11, unused with main amp)",S-001,p24 (Section G),from S-001; confirm on the car; polarity not marked,
PT655-LR_4-pole,PT655,LR (4-pole),front RH speaker output,"output stage, right",LR,"G-06 front RH speaker (also G-11, unused with main amp)",S-001,p24 (Section G),"from S-001; confirm on the car; same colour as the LR supply, different circuit",
PT655-DIN,PT655,DIN,line out to main amp,rear-channel signal,,PT657 DIN cord -> G-08 main amp,S-001,p24 (Section G),from S-001; confirm on the car,
PT655-case,PT655,case,ground,,,radio earth wire PT658 / body,S-001,p24 (Section G),from S-001; confirm on the car,
PT660-L,PT660,L,+12 V supply,,L,G-07 connector -> LR -> X-04 20 A (ACC),S-001,p24 (Section G),from S-001; confirm on the car,
PT660-LR,PT660,LR,rear LH speaker output,,LR,G-09 rear LH speaker,S-001,p24 (Section G),from S-001; confirm on the car; polarity not marked,
PT660-LO,PT660,LO,rear LH speaker output,,LO,G-09 rear LH speaker,S-001,p24 (Section G),from S-001; confirm on the car; polarity not marked,
PT660-LW,PT660,LW,rear RH speaker output,,LW,G-10 rear RH speaker,S-001,p24 (Section G),from S-001; confirm on the car; polarity not marked,
PT660-LB,PT660,LB,rear RH speaker output,,LB,G-10 rear RH speaker,S-001,p24 (Section G),from S-001; confirm on the car; polarity not marked,
PT660-DIN,PT660,DIN,signal input from radio,,,PT657 DIN cord -> G-04 radio,S-001,p24 (Section G),from S-001; confirm on the car,
PT662-LH_LG,PT662,LH: LG,voice coil,coil,LG,radio G-04 via X-02,S-001,p24 (Section G),from S-001; confirm on the car; G-05,
PT662-LH_LW,PT662,LH: LW,voice coil,coil,LW,radio G-04 via X-02,S-001,p24 (Section G),from S-001; confirm on the car; G-05,
PT662-RH_LY,PT662,RH: LY,voice coil,coil,LY,radio G-04,S-001,p24 (Section G),from S-001; confirm on the car; G-06,
PT662-RH_LR,PT662,RH: LR,voice coil,coil,LR,radio G-04,S-001,p24 (Section G),from S-001; confirm on the car; G-06,
PT664-LH_LR,PT664,LH: LR,voice coil,coil,LR,main amp G-08,S-001,p24 (Section G),from S-001; confirm on the car; G-09,
PT664-LH_LO,PT664,LH: LO,voice coil,coil,LO,main amp G-08,S-001,p24 (Section G),from S-001; confirm on the car; G-09,
PT664-RH_LW,PT664,RH: LW,voice coil,coil,LW,main amp G-08,S-001,p24 (Section G),from S-001; confirm on the car; G-10,
PT664-RH_LB,PT664,RH: LB,voice coil,coil,LB,main amp G-08,S-001,p24 (Section G),from S-001; confirm on the car; G-10,
PT038-LB,PT038,LB,+12 V feed (ignition),one side of the pump motor,LB,"X-04 fuse 10 A (L from the ignition switch X-08, LB bus via X-03), shared with the front wiper motor park feed and the rear washer and wiper",S-001,18,from S-001; confirm on the car,
PT038-LY,PT038,LY,switched ground,other side of the pump motor,LY,"D-03 combination switch WASHER contact to ground (B, X-13), and to the control processing unit X-16 (wipe on wash)",S-001,18,from S-001; confirm on the car,
PT671-LR,PT671,LR,"+12 V switched feed (ignition switch, L line)",coil (through a diode) and the relay's switched contact,LR,"X-04 fuse 20 A (LR), fed by L from the ignition switch X-08, via X-12",S-001,24,"from S-001; the fuse input is the switched L line, not WR; confirm on the car",
