id,category,title,subject,fits,site,url,author,licence,format,obtained,login,local_path,size_mm,scale,triangles,quality,detail,note
bosch-automotive-relay-0332209150-grabcad,electrical,Bosch Automotive Relay 0332209150,Bosch 0332209150 mini ISO relay,close,GrabCAD,https://grabcad.com/library/bosch-automotive-relay-0332209150-1,John Sweet,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,"formats listed: Autodesk Inventor,STEP / IGES,Rendering",dl648
automotive-relay-connector-grabcad,electrical,Automotive Relay / Connector,Automotive mini relay with connector/socket,close,GrabCAD,https://grabcad.com/library/automotive-relay-connector-1,Tauntdevil,GrabCAD terms (free download with account),solidworks 2013,no,yes,,,1:1,,3,"formats listed: SOLIDWORKS 2013,Rendering","Relay socket stand-in (Chief 5-pin weatherproof socket, P005). dl863"
30-40-amp-relay-assembly-with-mount-and-plug-automotive-styl-grabcad,electrical,30-40 Amp Relay Assembly with mount and plug Automotive style,Mini ISO relay with mount and plug,close,GrabCAD,https://grabcad.com/library/30-40-amp-relay-assembly-with-mount-and-plug-automotive-style-1,Dale Dillhoff,GrabCAD terms (free download with account),step,no,yes,,,1:1,,3,"formats listed: SOLIDWORKS,STEP / IGES",dl33
display-12p3in-hdmi-lcd-waveshare,electrical,12.3inch HDMI LCD 3D file (V1) + dimension PDF,Waveshare 12.3 in 1920x720 HDMI bar LCD with driver board (candidate for the 12.3 in bar display),close,Waveshare wiki,https://www.waveshare.com/wiki/12.3inch_HDMI_LCD,Waveshare,Waveshare free download (no license stated),step,yes,no,01-REFERENCE/model/library/electrical/display-12p3in-hdmi-lcd-waveshare,323 x 22 x 142,1:1,180279,5,"Panel, cover glass, driver board, connectors","600 nit touch panel; the project wants 900-1000 nit. The outline is typical of 12.3 in bar panels, but the exact glass must be confirmed."
display-12p3in-1920x720-lcd-waveshare,electrical,"12.3inch 1920x720 LCD 3D (in-cell touch, HDMI/Type-C)",Waveshare 12.3 in 1920x720 in-cell touch bar LCD,close,Waveshare wiki,https://www.waveshare.com/wiki/12.3inch_1920x720_LCD,Waveshare,Waveshare free download (no license stated),step,yes,no,01-REFERENCE/model/library/electrical/display-12p3in-1920x720-lcd-waveshare,123 x 301 x 17,1:1,92768,5,Panel with rear electronics,Second 12.3 in bar-display candidate.
bt817-me817ev-datasheet-bridgetek,electrical,ME817EV BT817 Evaluation Board datasheet (mechanical dimensions p.20),Bridgetek ME817EV BT817 EVE evaluation board,exact,brtchip.com,https://brtchip.com/product/me817ev/,Bridgetek,Bridgetek public datasheet,drawing,yes,no,01-REFERENCE/model/library/electrical/bt817-me817ev-datasheet-bridgetek,,1:1,,4,"Mechanical dimensions drawing; board is 160x100 mm, 4-layer","No free 3D model found (SnapEDA lists footprint/symbol only, login). The BT817 chip package is in kicad-vqfn64-bt817-kicad. [measure failed: file_type 'pdf' not supported]"
aem-30-0300-install-drawing-aem,electrical,AEM 30-0300 X-Series UEGO gauge instructions (LSU4.9 and FAE versions),AEM 30-0300 X-Series 52 mm wideband gauge,exact,aemelectronics.com / summitracing.com,https://www.aemelectronics.com/products/dashes_and_gauges/wideband_gauges/x_series_wideband/parts/30-0300,AEM Electronics,public instructions PDF,drawing,yes,no,01-REFERENCE/model/library/electrical/aem-30-0300-install-drawing-aem,,1:1,,2,Instructions with wiring; 52 mm (2-1/16 in) mounting diameter; little else dimensioned,No 3D model of the gauge found; use a generic 52 mm gauge body plus the pods. [measure failed: file_type 'pdf' not supported]
bosch-lsu49-datasheet-bosch-motorsport,electrical,Bosch Motorsport LSU 4.9 data sheets (current + 2008),Bosch LSU 4.9 wideband lambda sensor,exact,bosch-motorsport.com,https://www.bosch-motorsport.com/content/downloads/Raceparts/Resources/pdf/Data%20Sheet_69034379_Lambda_Sensor_LSU_4.9.pdf,Bosch Motorsport,public data sheet,drawing,yes,no,01-REFERENCE/model/library/electrical/bosch-lsu49-datasheet-bosch-motorsport,,1:1,,5,"Dimensioned sensor drawing: dia 22.6, M18x1.5, body 27.8, connector dia 17.6",Use to check bosch-lsu49-printables-ej20g. [measure failed: file_type 'pdf' not supported]
rx7-sa22c-cabin-light-switch-printables-grantd,electrical,Mazda RX-7 SA22C Cabin Light Switch,1979-85 RX-7 (SA22C/FB) cabin/dome light switch,exact,Printables,https://www.printables.com/model/467216-mazda-rx-7-sa22c-cabin-light-switch,GrantD,Creative Commons — Attribution — Noncommercial,stl,yes,no,01-REFERENCE/model/library/electrical/rx7-sa22c-cabin-light-switch-printables-grantd,12 x 18 x 7,1:1,6508,3,Printable replacement switch part,Car-specific electrical part. Printables summary: Replacement Cabin Light switch for SA22C RX-7.
rx7-fb-turn-signal-canceler-printables-themagicd,electrical,Rx7 FB and other Mazda turn signal canceler bridge,RX-7 FB (and other Mazda) combination-switch turn-signal canceler bridge,exact,Printables,https://www.printables.com/model/260517-rx7-fb-and-other-mazda-turn-signal-canceler-bridge,TheMagicD,Creative Commons — Public Domain,stl,yes,no,01-REFERENCE/model/library/electrical/rx7-fb-turn-signal-canceler-printables-themagicd,57 x 4 x 20,1:1,348,3,Small printed internal part of the combination switch,Only piece of the 1979-85 combination switch found. Printables summary: The bridge that holds the spring for the turn signal and that activates the turn signal cancel as shown in the picture.
rx7-sa22c-wiper-refresh-kit-printables-grantd,electrical,SA22C RX7 Wiper Refresh Kit,1979-85 RX-7 SA22C wiper linkage bushings and wiper-motor firewall mounts,exact,Printables,https://www.printables.com/model/1594937-sa22c-rx7-wiper-refresh-kit,GrantD,Creative Commons — Attribution — Noncommercial — NoDerivatives,stl,yes,no,01-REFERENCE/model/library/electrical/rx7-sa22c-wiper-refresh-kit-printables-grantd,23 x 23 x 7,1:1,2926,3,"Ball bushings, anti-vibration mount, firewall mounts; not the motor itself","Nearest thing to the wiper motor: its mounting parts. Printables summary: Bushings to rebuild the SA22C wiper linkage assembly. Also includes the mounts. Other file extents (mm): Anti-Vibration Mount.stl: [22.998, 22.999, 7.0]; SA22C wiper kit.3mf: [658.925, 357.928, 8.25]; Wiper Firewall mount Inner.stl: [29.998, 29.999, 4.0]; Wiper Firewall mount outter.stl: [23.998, 23.999, 7.229]; Wiper ball bushing 16.2.stl: [25.0, 25.0, 8.25]; Wiper ball bushing 16.3.stl: [25.0, 25.0, 8.25]; Wiper ball bushing 16.4.stl: [25.0, 25.0, 8.25]"
rx7-radio-bezel-mount-plate-printables-grantd,electrical,Mazda Rx-7 Radio Bezel Top Mount Plate,1979-85 RX-7 radio bezel top mount plate / cap,exact,Printables,https://www.printables.com/model/467199-mazda-rx-7-radio-bezel-top-mount-plate,GrantD,Creative Commons — Public Domain,stl,yes,no,01-REFERENCE/model/library/electrical/rx7-radio-bezel-mount-plate-printables-grantd,142 x 42 x 6,1:1,5026,3,Bezel cap,Dash/radio area geometry. Printables summary: This plate mounts to the dash to hold the radio bezel in place.
optifuse-blr-504-datasheet-optifuse,electrical,OptiFuse BLR-504 / BLR-I-504 / BLR-506 STEP + datasheets,"OptiFuse BLR-504 4-position ATC/ATO fuse block with cover (parts list P001, Waytek 45643)",exact,optifuse.com,https://www.optifuse.com/fuseblocks-automotive-fuses-blr-504.php,OptiFuse,OptiFuse free manufacturer download (no license stated),step,yes,no,01-REFERENCE/model/library/electrical/optifuse-blr-504-datasheet-optifuse,100 x 26 x 50,1:1,72756,5,Manufacturer 3D of the exact fuse block; I = independent-circuit version; 506 = 6-way,"Direct STEP pattern: https://www.optifuse.com/optifuse_ecommerce_tools/3D/<PN>.stp.zip (inline holder/fuse PNs tried, none found). Other file extents (mm): BLR-I-504_stp/BLR-I-504.stp: [100.076, 40.381, 49.53]; BLR-506_stp/BLR-506.stp: [100.076, 40.381, 62.992]"
relay-datasheets-picker-songchuan,electrical,Picker PC792E and Song Chuan 871 datasheets (outline dimensions),Picker PC792E sealed mini ISO relay (P004) and Song Chuan 871 micro ISO relay (P003),exact,lvelectronics.com / octopart datasheets,https://www.lvelectronics.com/images/pdf/PC792E.pdf,Picker Components; Song Chuan,public datasheets,drawing,yes,no,01-REFERENCE/model/library/electrical/relay-datasheets-picker-songchuan,,1:1,,4,Outline and terminal-layout drawings,No manufacturer 3D found for either relay; GrabCAD community mini/micro ISO relay models are recorded as login-only. [measure failed: file_type 'pdf' not supported]
power-distribution-post-printables-addison,electrical,SINGLE POWER DISTRIBUTION POST,"Single power distribution post (insulated stud post, Blue Sea PowerPost class)",close,Printables,https://www.printables.com/model/186164-single-power-distribution-post,Howard Addison,Creative Commons — Attribution,stl,yes,no,01-REFERENCE/model/library/electrical/power-distribution-post-printables-addison,30 x 15 x 60,1:1,5022,3,Printable post body,Stand-in for Blue Sea 2003 PowerPost (P050). Printables summary: Heavy duty post mounted on a base. Single connection to suit a variety of power distribution applications
power-post-3-8-bolt-printables-runaboutdan,electrical,3/8 bolt Power Block/Terminal Post,3/8 in bolt power block / terminal post,close,Printables,https://www.printables.com/model/1275845-38-bolt-power-blockterminal-post,RunaboutDan,Creative Commons — Attribution,stl,yes,no,01-REFERENCE/model/library/electrical/power-post-3-8-bolt-printables-runaboutdan,64 x 19 x 13,1:1,1660,3,Printable base and cap for a 3/8 in stud,"3/8 in stud distribution post stand-in. Printables summary: 3/8 bolt power block or terminal post with a 2"" spacing that has the same footprint as a Ford starter solenoid. Other file extents (mm): 3-8 Junction Block Base v3.stl: [65.786, 25.146, 5.08]; 3-8 Junction Block Base.stl: [65.532, 21.082, 5.08]; 3-8 Junction Block v3.stl: [63.5, 22.86, 15.748]"
fuse-relay-box-automotive-printables-scottyprints,electrical,Automotive / Marine fuse & relay box,"Automotive/marine fuse and relay box (ATC fuses + mini ISO relays), includes Bosch 30 A relay SLDPRT",close,Printables,https://www.printables.com/model/336453-automotive-marine-fuse-relay-box,ScottyPrints,Creative Commons — Attribution,stl,yes,no,01-REFERENCE/model/library/electrical/fuse-relay-box-automotive-printables-scottyprints,80 x 98 x 27,1:1,6160,3,"Printable box, SolidWorks source and a Bosch mini relay part","The Bosch relay SLDPRT is a mini ISO relay model (not measured, SolidWorks format). Printables summary: my rendition of a fuse box I needed after installing some rock & ditch lights on my truck. Other file extents (mm): fuse panel 40amp relay.stl: [80.0, 98.0, 25.0]; cover.stl: [85.0, 103.0, 37.0]"
relay-sockets-all-car-relays-thingiverse-sportidesign,electrical,Relay-sockets for all types of car relay,"Printable sockets for mini ISO, power-mini and micro ISO automotive relays (DIN 46340 receptacles)",close,Thingiverse (via archive.org mirror),https://www.thingiverse.com/thing:4067289,SPORTIDESIGN,CC BY 4.0,stl,yes,no,01-REFERENCE/model/library/electrical/relay-sockets-all-car-relays-thingiverse-sportidesign,25 x 27 x 25,1:1,4284,3,"Socket bodies (mini ISO, power mini, micro ISO)","Downloaded from archive.org/details/thingiverse-4067289 (Thingiverse /zip returned HTML). Gives mini/micro ISO pin-pattern geometry. Other file extents (mm): extracted/files/Relayholder-Type-4-mikro-screwconnection.stl: [15.4, 34.2, 37.0]; extracted/files/Relayholder-Type-2a-mini-universal.stl: [22.6, 25.7, 25.0]; extracted/files/Relayholder-Type-3a-power-mini-universal.stl: [23.4, 32.05, 31.0]"
relay-holder-4-5-terminal-thingiverse,electrical,4 or 5 terminal automotive relay holder for cheap terminals,Printable mini ISO relay socket (4/5 terminal),close,Thingiverse (via archive.org mirror),https://www.thingiverse.com/thing:1977671,(see attribution_card.html),CC BY 4.0,stl,yes,no,01-REFERENCE/model/library/electrical/relay-holder-4-5-terminal-thingiverse,28 x 34 x 40,1:1,1422,3,Socket body,archive.org mirror.
teensy_4-1_assembly-grabcad,electrical,Teensy_4.1_Assembly,Teensy 4.1 board,exact,GrabCAD,https://grabcad.com/library/teensy_4-1_assembly-1,Bryan Hall,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,formats listed: STEP / IGES,Probably the same PJRC-derived assembly as teensy41-step-github-xengi. dl709
teensy-4-1-ethernet-kit-board-2-grabcad,electrical,Teensy 4.1 Ethernet Kit Board,Teensy 4.1 ethernet kit board,close,GrabCAD,https://grabcad.com/library/teensy-4-1-ethernet-kit-board-2,Andrea Moreschi,GrabCAD terms (free download with account),step,no,yes,,,1:1,,3,formats listed: STEP / IGES,dl363
seeed-studio-xiao-esp32c3-grabcad,electrical,Seeed Studio XIAO ESP32C3,Seeed XIAO ESP32C3 board,exact,GrabCAD,https://grabcad.com/library/seeed-studio-xiao-esp32c3-1,Miguel Gaspar,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,formats listed: STEP / IGES,dl850
sid-xiao-esp32c3-arduino-grabcad,electrical,"Sid Xiao ESP32C3, Arduino",Seeed XIAO ESP32C3 board,exact,GrabCAD,https://grabcad.com/library/sid-xiao-esp32c3-arduino-1,minju Jin,GrabCAD terms (free download with account),step,no,yes,,,1:1,,3,"formats listed: STEP / IGES,Rendering",dl104
seeed-studio-xiao-esp32c3-2-grabcad,electrical,Seeed Studio XIAO ESP32C3,Seeed XIAO ESP32C3 board (official Seeed upload),exact,GrabCAD,https://grabcad.com/library/seeed-studio-xiao-esp32c3-2,Seeed Studio,GrabCAD terms (free download with account),step,no,yes,,,1:1,,5,"formats listed: STEP / IGES,Rendering",Official copy also downloaded from Printables. dl792
can-transiver-sn65hvd230-grabcad,electrical,CAN Transiver SN65HVD230,SN65HVD230 CAN transceiver module (blue breakout),exact,GrabCAD,https://grabcad.com/library/can-transiver-sn65hvd230-1,1 1,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,formats listed: STEP / IGES,Parts list P143 desk modules. dl134
can-bus-breakout-board-for-seeed-studio-xiao-grabcad,electrical,CAN Bus Breakout Board for Seeed Studio XIAO,Seeed CAN bus breakout for XIAO,close,GrabCAD,https://grabcad.com/library/can-bus-breakout-board-for-seeed-studio-xiao-1,Seeed Studio,GrabCAD terms (free download with account),step,no,yes,,,1:1,,5,"formats listed: STEP / IGES,Rendering",Also downloaded from Printables. dl112
deutsch-connectors-dt-series-grabcad,electrical,Deutsch Connectors - DT Series,Deutsch DT series connectors (community),exact,GrabCAD,https://grabcad.com/library/deutsch-connectors-dt-series-1,Cassio Fernando,GrabCAD terms (free download with account),step,no,yes,,,1:1,,3,"formats listed: STEP / IGES,Rendering",Official TE models already downloaded. dl468
deutsch-connector-12pin-grabcad,electrical,Deutsch Connector 12pin,Deutsch DT 12-pin connector (community),exact,GrabCAD,https://grabcad.com/library/deutsch-connector-12pin-1,Petrus Priyo Santosa,GrabCAD terms (free download with account),solidworks 2008,no,yes,,,1:1,,3,formats listed: SOLIDWORKS 2008,dl710
dt04-12p-grabcad,electrical,DT04-12P,Deutsch DT04-12P (community),exact,GrabCAD,https://grabcad.com/library/dt04-12p-1,SIBU,GrabCAD terms (free download with account),step,no,yes,,,1:1,,3,"formats listed: STEP / IGES,Rendering",dl44
battery-odyssey-pc680-grabcad,electrical,"Battery, Odyssey PC680",Odyssey PC680 AGM battery,exact,GrabCAD,https://grabcad.com/library/battery-odyssey-pc680-1,Nathan,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,"formats listed: KeyCreator,SOLIDWORKS 2014,STEP / IGES",dl601
odyssey-battery-grabcad,electrical,Odyssey battery,Odyssey battery,close,GrabCAD,https://grabcad.com/library/odyssey-battery,close,GrabCAD terms (free download with account),3,no,yes,,,1:1,,3,formats listed: 3,Found via web search; confirm model. Found via web search; confirm model.
sketchfab-splitter-canbus-deutsch-cpfingstmann,electrical,Splitter canbus deutsch,CAN bus splitter with Deutsch DT connectors,close,Sketchfab,https://sketchfab.com/3d-models/8cbf01389694415fa2bf8f0b0c0d0207,cpfingstmann,CC Attribution,glb,no,yes,,,1:1,,2,Sketchfab downloadable (account required),Mesh/visual model; dimensions unverified.
sketchfab-car-battery-amt16,electrical,Car Battery,generic 12 V car battery (mesh),close,Sketchfab,https://sketchfab.com/3d-models/5b60936580ab43eb9f0a21164a2ac40e,amt16,CC Attribution,glb,no,yes,,,1:1,,2,Sketchfab downloadable (account required),Mesh/visual model; dimensions unverified.
sketchfab-car-battery-ashleymawson,electrical,Car Battery,generic 12 V car battery (mesh),close,Sketchfab,https://sketchfab.com/3d-models/728462a4f3f744008bd2c702604bb95c,AshleyMawson,CC Attribution,glb,no,yes,,,1:1,,2,Sketchfab downloadable (account required),Mesh/visual model; dimensions unverified.
sketchfab-car-battery-scan-unrealengine432,electrical,Car battery scan,scanned 12 V car battery,close,Sketchfab,https://sketchfab.com/3d-models/668060da52e549a88f574025961cbb50,unrealengine432,CC Attribution,glb,no,yes,,,1:1,,2,Sketchfab downloadable (account required),Mesh/visual model; dimensions unverified.
sketchfab-bosch-car-battery-scanme,electrical,Bosch car battery,Bosch 12 V car battery (scan),close,Sketchfab,https://sketchfab.com/3d-models/68c36c21b1be4fdb830b534187b48f92,ScanMe,CC Attribution-NonCommercial-ShareAlike,glb,no,yes,,,1:1,,2,Sketchfab downloadable (account required),Mesh/visual model; dimensions unverified.
sketchfab-car-battery-anrico.opperman,electrical,Car Battery,generic 12 V car battery,close,Sketchfab,https://sketchfab.com/3d-models/1ec2c58d7a514b5ea779381a5a49e763,anrico.opperman,CC Attribution,glb,no,yes,,,1:1,,2,Sketchfab downloadable (account required),Mesh/visual model; dimensions unverified.
sketchfab-car-battery-cut-though-klaxoneer,electrical,Car battery cut though,cut-away 12 V car battery,different,Sketchfab,https://sketchfab.com/3d-models/455c1b96e8214b45ac06bb2742d8b50d,klaxoneer,CC Attribution,glb,no,yes,,,1:1,,2,Sketchfab downloadable (account required),Mesh/visual model; dimensions unverified.
sketchfab-automotive-relay-ecramirez,electrical,Automotive Relay,mini ISO automotive relay (mesh),close,Sketchfab,https://sketchfab.com/3d-models/f1921b54ff53439a9cac6d5b38db6bff,ecramirez,CC Attribution,glb,no,yes,,,1:1,,2,Sketchfab downloadable (account required),Mesh/visual model; dimensions unverified.
sketchfab-lincoln-wiper-motor-marolf101x,electrical,Lincoln wiper motor,"wiper motor (Lincoln, not Mazda)",different,Sketchfab,https://sketchfab.com/3d-models/1ee7244f3516484888bb8801804f159f,marolf101x,CC Attribution,glb,no,yes,,,1:1,,2,Sketchfab downloadable (account required),Mesh/visual model; dimensions unverified.
battery-odyssey-pc680-pc925-datasheets,electrical,Odyssey PC680 / PC925 technical data sheets + quick reference,Odyssey PC680 and PC925 AGM batteries (compact battery options),close,odysseybattery.com / tayna.com,https://www.odysseybattery.com/wp-content/uploads/sites/2/odyssey-battery-quick-reference.pdf,EnerSys (Odyssey),public data sheets,drawing,yes,no,01-REFERENCE/model/library/electrical/battery-odyssey-pc680-pc925-datasheets,,1:1,,4,Dimensioned data sheets: PC680 183 x 76 x 168 mm (163 mm to terminal tops),Tayna PDFs had 14 leading newlines; stripped so they open. Which battery the car gets is not settled in the parts list. [measure failed: file_type 'pdf' not supported]
rx-7-fuse-box-cover-grabcad,electrical,RX-7 Fuse box cover,RX-7 fuse box cover (generation not stated - check if FB),close,GrabCAD,https://grabcad.com/library/rx-7-fuse-box-cover-1,Sean Wessels,GrabCAD terms (free download with account),geomagic design,no,yes,,,1:1,,2,"formats listed: Geomagic Design,STL,Rendering",Only RX-7 fuse-box item found anywhere; STL from Geomagic. dl151
jd1914-12v-40a-relay-grabcad,electrical,jd1914 12v 40a relay,JD1914 12 V 40 A mini ISO relay,close,GrabCAD,https://grabcad.com/library/jd1914-12v-40a-relay-1,peter jansen,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,"formats listed: Fusion 360,STEP / IGES,Rendering,Other",dl429
12v-40a-4-pin-car-relay-grabcad,electrical,12v 40A 4-pin car relay,12 V 40 A 4-pin mini ISO car relay,close,GrabCAD,https://grabcad.com/library/12v-40a-4-pin-car-relay-1,Dorus Groen,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,"formats listed: STEP / IGES,Rendering",dl729
houshing-relay-bosch-grabcad,electrical,Houshing Relay Bosch,Bosch mini ISO relay socket housing,close,GrabCAD,https://grabcad.com/library/houshing-relay-bosch-1,Petrus Priyo Santosa,GrabCAD terms (free download with account),solidworks 2008,no,yes,,,1:1,,3,formats listed: SOLIDWORKS 2008,Relay socket stand-in. dl325
2-way-black-metri-pack-630-sealed-female-connector-grabcad,electrical,2 Way Black Metri-Pack 630 Sealed Female Connector,Aptiv Metri-Pack 630 2-way sealed connector,different,GrabCAD,https://grabcad.com/library/2-way-black-metri-pack-630-sealed-female-connector-1,Matthew Carson,GrabCAD terms (free download with account),step,no,yes,,,1:1,,3,"formats listed: STEP / IGES,Rendering",dl187
aptiv-delphi-packard-weather-pack-female-connector-grabcad,electrical,Aptiv (Delphi Packard) Weather Pack Female Connector,Aptiv Weather Pack female connector,different,GrabCAD,https://grabcad.com/library/aptiv-delphi-packard-weather-pack-female-connector-1,Jonas Westerholm,GrabCAD terms (free download with account),step,no,yes,,,1:1,,3,"formats listed: SOLIDWORKS 2017,STEP / IGES,Rendering",Weatherproof relay sockets (Chief) use Metri-Pack/Weather-Pack style terminals. dl236
52mm-pressure-gauge-grabcad,electrical,52mm Pressure Gauge,52 mm gauge body,close,GrabCAD,https://grabcad.com/library/52mm-pressure-gauge-1,Mark Flintoft,GrabCAD terms (free download with account),step,no,yes,,,1:1,,3,"formats listed: STEP / IGES,Rendering",Generic 52 mm gauge stand-in for AEM 30-0300. dl827
52-mm-gauge-grabcad,electrical,52 mm gauge,52 mm gauge body,close,GrabCAD,https://grabcad.com/library/52-mm-gauge-1,Egor Yy,GrabCAD terms (free download with account),step,no,yes,,,1:1,,3,"formats listed: STEP / IGES,Rendering",dl97
aem-grabcad,electrical,AEM,AEM gauge (model not stated),close,GrabCAD,https://grabcad.com/library/aem-1,Andrew Vitaljic,GrabCAD terms (free download with account),solidworks 2016,no,yes,,,1:1,,3,"formats listed: SOLIDWORKS 2016,Rendering",SolidWorks only. dl300
innovate-mtx-l-3918-grabcad,electrical,Innovate MTX-L 3918,Innovate MTX-L 52 mm wideband gauge,close,GrabCAD,https://grabcad.com/library/innovate-mtx-l-3918-1,Tõnis Väin,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,"formats listed: STEP / IGES,Rendering","Competitor 52 mm wideband gauge, same envelope class as AEM X-Series. dl98"
gauge-pods-2-grabcad,electrical,Gauge pods,Gauge pods,different,GrabCAD,https://grabcad.com/library/gauge-pods-2,marc,GrabCAD terms (free download with account),step,no,yes,,,1:1,,2,formats listed: STEP / IGES,dl39
tps54560-grabcad,electrical,TPS54560,TI TPS54560 package model,exact,GrabCAD,https://grabcad.com/library/tps54560-1,Serhii Diachenko,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,formats listed: STEP / IGES,Package also covered by KiCad TI_SO-PowerPAD-8. dl68
riverdi-tft-ips-display-4-3-rgb-grabcad,electrical,"Riverdi TFT IPS Display 4.3"" RGB",Riverdi 4.3 in IPS RGB TFT,different,GrabCAD,https://grabcad.com/library/riverdi-tft-ips-display-4-3-rgb-1,Peter S.,GrabCAD terms (free download with account),step,no,yes,,,1:1,,3,"formats listed: Autodesk Inventor,STEP / IGES,Rendering",Riverdi makes BT817 EVE4 displays. dl62
ec11-rotary-encoder-with-switch-grabcad,electrical,EC11 Rotary Encoder with Switch,Alps EC11 rotary encoder with switch,close,GrabCAD,https://grabcad.com/library/ec11-rotary-encoder-with-switch-1,Anthony Berkow,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,"formats listed: STEP / IGES,Rendering,Other",dl5959
ec11-rotary-encoder-dode-switch-15mm-grabcad,electrical,EC11 Rotary Encoder Dode Switch-15mm,EC11 rotary encoder 15 mm shaft,close,GrabCAD,https://grabcad.com/library/ec11-rotary-encoder-dode-switch-15mm-1,xindela,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,"formats listed: STEP / IGES,Rendering",dl3120
16mm-metal-push-button-grabcad,electrical,16mm metal push button,16 mm metal momentary pushbutton,close,GrabCAD,https://grabcad.com/library/16mm-metal-push-button-1,Damien Sorel,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,"formats listed: SOLIDWORKS,STEP / IGES",Page button / control panel candidate. dl3077
16mm-led-momentary-push-button-grabcad,electrical,16mm LED Momentary Push Button,16 mm LED momentary pushbutton,close,GrabCAD,https://grabcad.com/library/16mm-led-momentary-push-button-1,Lisa Fida,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,"formats listed: Fusion 360,STEP / IGES,Rendering",dl939
push-button-16mm-grabcad,electrical,Push button 16mm,16 mm pushbutton,close,GrabCAD,https://grabcad.com/library/push-button-16mm,Wayne Hunter,GrabCAD terms (free download with account),step,no,yes,,,1:1,,3,"formats listed: STEP / IGES,TurboCAD,Rendering",dl779
12v-battery-odyssey-pc680-grabcad,electrical,"12V Battery, Odyssey PC680",Odyssey PC680 AGM battery,exact,GrabCAD,https://grabcad.com/library/12v-battery-odyssey-pc680-1,bruce hodder,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,"formats listed: Autodesk Inventor 2012,STEP / IGES,Rendering",dl530
odyssey-odx-agm65-battery-grabcad,electrical,Odyssey ODX-AGM65 Battery,Odyssey ODX-AGM65 (Group 65) battery,close,GrabCAD,https://grabcad.com/library/odyssey-odx-agm65-battery-1,Darin L,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,"formats listed: SOLIDWORKS,STEP / IGES,Rendering",dl1247
antigravity-battery-2-grabcad,electrical,Antigravity Battery,Antigravity lithium battery,close,GrabCAD,https://grabcad.com/library/antigravity-battery-2,jose,GrabCAD terms (free download with account),step,no,yes,,,1:1,,3,"formats listed: Rhino,STEP / IGES,Rendering",dl91
antigravity-batteries-grabcad,electrical,Antigravity Batteries,Antigravity lithium battery,close,GrabCAD,https://grabcad.com/library/antigravity-batteries-1,Nemanja Petkov,GrabCAD terms (free download with account),step,no,yes,,,1:1,,3,"formats listed: STEP / IGES,STL,Rendering",dl77
12v-40ah-car-battery-terminals-grabcad,electrical,12V-40Ah-Car Battery & terminals,12 V 40 Ah car battery with post terminals,close,GrabCAD,https://grabcad.com/library/12v-40ah-car-battery-terminals-1,MEUNIER Stéphane,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,"formats listed: SOLIDWORKS 2014,STEP / IGES,Rendering",4415 downloads. dl4415
yuasa-battery-grabcad,electrical,Yuasa Battery,Yuasa battery,close,GrabCAD,https://grabcad.com/library/yuasa-battery,Marcos Armero,GrabCAD terms (free download with account),step,no,yes,,,1:1,,3,"formats listed: STEP / IGES,Rendering,Other",dl1327
pos-and-neg-tapered-battery-terminal-connectors-grabcad,electrical,POS AND NEG TAPERED BATTERY TERMINAL CONNECTORS,"SAE tapered-post battery terminals, positive and negative",exact,GrabCAD,https://grabcad.com/library/pos-and-neg-tapered-battery-terminal-connectors-1,George Buchert,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,"formats listed: SOLIDWORKS,STEP / IGES,Rendering",Parts list P095. dl70
positive-battery-terminal-clamp-grabcad,electrical,Positive Battery Terminal Clamp,Positive SAE battery terminal clamp,exact,GrabCAD,https://grabcad.com/library/positive-battery-terminal-clamp-1,Darin L,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,"formats listed: SOLIDWORKS,STEP / IGES,Rendering",Author Darin L. dl921
negative-battery-terminal-clamp-grabcad,electrical,Negative Battery Terminal Clamp,Negative SAE battery terminal clamp,exact,GrabCAD,https://grabcad.com/library/negative-battery-terminal-clamp-1,Darin L,GrabCAD terms (free download with account),step,no,yes,,,1:1,,4,"formats listed: SOLIDWORKS,STEP / IGES,Rendering",dl837
