section,store,item,part_or_spec,qty,unit,unit_price_usd,line_total_usd,price_basis,note
MATERIAL,DeutschConnector.com,Assembly kit — DT04-08P receptacle (housing + wedgelock + contacts) — box side of D1,DT04-08P-Assy,1,kit,15.00,15.00,est,L4 Rear (sill) — Sill node
MATERIAL,DeutschConnector.com,Assembly kit — DT06-08S plug (housing + wedgelock + contacts) — leg side of D2,DT06-08S-Assy,1,kit,15.00,15.00,est,L4 Rear (sill) — Sill node
MATERIAL,DeutschConnector.com,Assembly kit — DT04-08P receptacle (housing + wedgelock + contacts) — box side of D2,DT04-08P-Assy,1,kit,15.00,15.00,est,L4 Rear (sill) — Sill node
MATERIAL,DeutschConnector.com,Assembly kit — DT06-12S plug (housing + wedgelock + contacts) — leg side of DP-CLU,DT06-12S-Assy,1,kit,22.00,22.00,est,Drop — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT04-12P receptacle (housing + wedgelock + contacts) — box side of DP-CLU,DT04-12P-Assy,1,kit,22.00,22.00,est,Drop — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DTM06-4S plug (housing + wedgelock + contacts) — leg side of DP-DIAG,DTM06-4S-Assy,1,kit,9.00,9.00,est,Drop — Glovebox
MATERIAL,DeutschConnector.com,Assembly kit — DTM04-4P receptacle (housing + wedgelock + contacts) — box side of DP-DIAG,DTM04-4P-Assy,1,kit,9.00,9.00,est,Drop — Glovebox
MATERIAL,DeutschConnector.com,Assembly kit — DT06-12S plug (housing + wedgelock + contacts) — leg side of DP-ICU,DT06-12S-Assy,1,kit,22.00,22.00,est,Drop — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT04-12P receptacle (housing + wedgelock + contacts) — box side of DP-ICU,DT04-12P-Assy,1,kit,22.00,22.00,est,Drop — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT06-6S plug (housing + wedgelock + contacts) — leg side of DP-DCU,DT06-6S-Assy,1,kit,12.00,12.00,est,Drop — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DT04-6P receptacle (housing + wedgelock + contacts) — box side of DP-DCU,DT04-6P-Assy,1,kit,12.00,12.00,est,Drop — Dash post
MATERIAL,DeutschConnector.com,Assembly kit — DTM06-4S plug (housing + wedgelock + contacts) — leg side of DP-KEY,DTM06-4S-Assy,1,kit,9.00,9.00,est,Drop — Dash
MATERIAL,DeutschConnector.com,Assembly kit — DTM04-4P receptacle (housing + wedgelock + contacts) — box side of DP-KEY,DTM04-4P-Assy,1,kit,9.00,9.00,est,Drop — Dash
MATERIAL,DeutschConnector.com,Spare pair — DT06-12S + DT04-12P assembly kits,DT06-12S-Assy + DT04-12P-Assy,1,pair,44.00,44.00,est,One mistake or one teardown surprise
MATERIAL,DeutschConnector.com,Spare pair — DTP06-4S + DTP04-4P assembly kits,DTP06-4S-Assy + DTP04-4P-Assy,1,pair,36.00,36.00,est,
MATERIAL,DeutschConnector.com,"Solid socket contact, size 16, 16–18 AWG (spares +30 %)",0462-201-1631,35,ea,0.60,21.00,est,beyond the contacts in the kits
MATERIAL,DeutschConnector.com,"Solid pin contact, size 16, 16–18 AWG (spares +30 %)",0460-202-1631,35,ea,0.60,21.00,est,beyond the contacts in the kits
MATERIAL,DeutschConnector.com,"Solid socket contact, size 16, 14 AWG (spares)",0462-201-16141,11,ea,0.65,7.15,est,beyond the contacts in the kits
MATERIAL,DeutschConnector.com,"Solid pin contact, size 16, 14 AWG (spares)",0460-202-16141,11,ea,0.65,7.15,est,beyond the contacts in the kits
MATERIAL,DeutschConnector.com,"Solid socket contact, size 12, 12 AWG (spares +30 %)",0462-203-12141,10,ea,1.20,12.00,est,beyond the contacts in the kits
MATERIAL,DeutschConnector.com,"Solid pin contact, size 12, 12 AWG (spares +30 %)",0460-204-12141,10,ea,1.20,12.00,est,beyond the contacts in the kits
MATERIAL,DeutschConnector.com,"Socket contact, size 20, 16–22 AWG (spares)",0462-201-20141,7,ea,0.60,4.20,est,beyond the contacts in the kits
MATERIAL,DeutschConnector.com,"Pin contact, size 20, 16–22 AWG (spares)",0460-202-20141,7,ea,0.60,4.20,est,beyond the contacts in the kits
MATERIAL,DeutschConnector.com,"Sealing plug, size 16 cavity (engine-leg empties, both halves)",114017,25,ea,0.35,8.75,est,
MATERIAL,DeutschConnector.com,"Sealing plug, size 12 cavity (L1-P empties, both halves)",0413-204-2005,4,ea,0.60,2.40,est,
MATERIAL,DeutschConnector.com,Mounting clip for DT / DTP receptacles (every dash-post receptacle + 4 spare),1027-003-1200,26,ea,1.50,39.00,est,
MATERIAL,DeutschConnector.com,"Dust cap, DT 12-way receptacle (capped drops DP-ICU; spare)",DT-12 receptacle cap,3,ea,3.00,9.00,est,
MATERIAL,DeutschConnector.com,"Dust cap, DT 6-way receptacle (DP-DCU)",DT-6 receptacle cap,2,ea,2.50,5.00,est,
MATERIAL,DeutschConnector.com,"Dust cap, DTM 4-way (DP-DIAG, DP-KEY)",DTM-4 cap,3,ea,2.50,7.50,est,
MATERIAL,DeutschConnector.com,"Boot, DT 12-way plug, 180° (L1-S1, L1-S2, L3-S1, L3-S2, L4-M, DP-CLU)",DT12S-BT-BK,6,ea,4.50,27.00,est,
MATERIAL,DeutschConnector.com,"Boot, DT 8-way plug (L2-M, L3-S3, L4-S, D1, D2)",DT8S-BT-BK,5,ea,4.00,20.00,est,
MATERIAL,DeutschConnector.com,"Boot, DTP 4-way plug (L1-P, L2-P1, L2-P2, L4-P)",DTP4S-BT,4,ea,5.00,20.00,est,
