id,housing,cav,circuit,src,src_note,awg,colour,state,lands_on,route
DP-DCU 5,DP-DCU,5,CAN2 L,CAN2L,,16 tw,GRN,LIVE,"In the DT06-6S plug at the end of the tail to the centre stack, plugged into the DCU at E26, live from install (luxury D-362, D-374)",
DP-DCU 6,DP-DCU,6,DCU wake request,WAKE 7,,16,BLU,LIVE,"In the DT06-6S plug at the end of the tail to the centre stack, plugged into the DCU at E26, live from install (luxury D-362, D-374). The DCU pulls this to wake the PMU when a panel key is pressed with the car asleep; the seventh diode-OR input on the wake strip (D-350). This was the housing's last spare cavity",
L2-OAT 1,L2-OAT,1,Outside-air thermistor — signal,L2-S 5,,16,GRY,CAPPED,"Dust-capped receptacle at the nose — the thermistor plugs in, its return to the front star (D-274)",
L2-OAT 2,L2-OAT,2,,,,,,PLUG,"Sealing plug, size 16",
L3-CMF 1,L3-CMF,1,O15 comfort bus,L3-P 2,,12,RED,CAPPED,Dust-capped DTP receptacle behind the centre stack — the luxury package's fuse block plugs in (D-274),
L3-CMF 2,L3-CMF,2,,,,,,PLUG,"Sealing plug, size 12",
L3-MOD 1,L3-MOD,1,"Future module +12 V constant (F13, block A, always-hot)",L3-S2 7,,16,RED,CAPPED,Dust-capped receptacle behind the dash — live when F13 gets a fuse (D-274),
L3-MOD 2,L3-MOD,2,Future module ground,L3-S2 8,,16,BLK,CAPPED,as cavity 1,
L3-RDR 1,L3-RDR,1,Radar pass-through A,L3-S3 1,,16,GRY,CAPPED,Dust-capped receptacle behind the dash — the radar head's harness plugs in (D-274),
L3-RDR 2,L3-RDR,2,Radar pass-through B,L3-S3 2,,16,GRY,CAPPED,as cavity 1,
L3-RDR 3,L3-RDR,3,Radar pass-through C,L3-S3 3,,16,GRY,CAPPED,as cavity 1,
L3-RDR 4,L3-RDR,4,,,,,,PLUG,"Sealing plug, size 16",
L4-RDR 1,L4-RDR,1,Radar pass-through A,L4-S 5,,16,GRY,CAPPED,Dust-capped receptacle at the rear node — the run up the hatch to the sensor goes in with it (D-274),
L4-RDR 2,L4-RDR,2,Radar pass-through B,L4-S 6,,16,GRY,CAPPED,as cavity 1,
L4-RDR 3,L4-RDR,3,Radar pass-through C,L4-S 7,,16,GRY,CAPPED,as cavity 1,
L4-RDR 4,L4-RDR,4,,,,,,PLUG,"Sealing plug, size 16",
DP-DCU-B 1,DP-DCU-B,1,Window DRV up command,L3-S2 3,"same conductor, L3 leg to the centre stack",16,BLU,CAPPED,"The DCU's DT13-12PA, plugged in at E26 (luxury D-362, D-374); the far end stays capped until the luxury package fits the load",
DP-DCU-B 2,DP-DCU-B,2,Window DRV down command,L3-S2 4,"same conductor, L3 leg to the centre stack",16,BLU,CAPPED,"The DCU's DT13-12PA, plugged in at E26 (luxury D-362, D-374); the far end stays capped until the luxury package fits the load",
DP-DCU-B 3,DP-DCU-B,3,Window PASS up command,L3-S2 5,"same conductor, L3 leg to the centre stack",16,BLU,CAPPED,"The DCU's DT13-12PA, plugged in at E26 (luxury D-362, D-374); the far end stays capped until the luxury package fits the load",
DP-DCU-B 4,DP-DCU-B,4,Window PASS down command,L3-S2 6,"same conductor, L3 leg to the centre stack",16,BLU,CAPPED,"The DCU's DT13-12PA, plugged in at E26 (luxury D-362, D-374); the far end stays capped until the luxury package fits the load",
DP-DCU-B 5,DP-DCU-B,5,Mirror motor common (both mirrors),L3-S3 5,"same conductor, L3 leg to the centre stack",16,GRY,CAPPED,"The DCU's DT13-12PA, plugged in at E26 (luxury D-362, D-374); the far end stays capped until the luxury package fits the load",
DP-DCU-B 6,DP-DCU-B,6,Mirror LEFT motor,L3-S3 6,"same conductor, L3 leg to the centre stack",16,GRY,CAPPED,"The DCU's DT13-12PA, plugged in at E26 (luxury D-362, D-374); the far end stays capped until the luxury package fits the load",
DP-DCU-B 7,DP-DCU-B,7,Mirror RIGHT motor,L3-S3 7,"same conductor, L3 leg to the centre stack",16,GRY,CAPPED,"The DCU's DT13-12PA, plugged in at E26 (luxury D-362, D-374); the far end stays capped until the luxury package fits the load",
DP-DCU-B 8,DP-DCU-B,8,Mirror clutch coils (both mirrors),L3-S3 8,"same conductor, L3 leg to the centre stack",16,GRY,CAPPED,"The DCU's DT13-12PA, plugged in at E26 (luxury D-362, D-374); the far end stays capped until the luxury package fits the load",
DP-DCU-B 9,DP-DCU-B,9,Mirror heat feed (DCU high-side),DCU,"same conductor, tail to the post, linked to L4-P 4",16,RED,CAPPED,"The DCU's DT13-12PA, plugged in at E26 (D-374); far end capped until the luxury package fits the load; linked at the post onto L4-P 4 → F14 at the sill (D-369)",
DP-DCU-B 10,DP-DCU-B,10,Hatch release select - K3 coil return,K3 85,tail from the dash node to the DCU,16,BLU,CAPPED,The DCU's DT13-12PA; the DCU sinks it during the release pulse to pick the hatch (D-370),
DP-DCU-B 11,DP-DCU-B,11,Fuel-door release select - K4 coil return,K4 85,tail from the dash node to the DCU,16,BLU,CAPPED,The DCU's DT13-12PA; the DCU sinks it during the release pulse to pick the fuel door (D-370),
DP-DCU-B 12,DP-DCU-B,12,,,,,,PLUG,"Sealing plug, size 16 - spare",
DP-DCU-C 1,DP-DCU-C,1,"Seat heat, driver - return",SN16,switched low-side by the DCU (BTS3011TE); 7.5 A fuse at the O15 block,16,BLK,CAPPED,"The DCU's DT13-08PA (P153, D-382); the luxury harness LP49 plugs in at I4 - capped until then",
DP-DCU-C 2,DP-DCU-C,2,"Seat heat, passenger - return",SN16,7.5 A fuse at the O15 block,16,BLK,CAPPED,"The DCU's DT13-08PA (P153, D-382); the luxury harness LP49 plugs in at I4 - capped until then",
DP-DCU-C 3,DP-DCU-C,3,"Seat cool, driver - return",SN16,5 A fuse at the O15 block,16,BLK,CAPPED,"The DCU's DT13-08PA (P153, D-382); the luxury harness LP49 plugs in at I4 - capped until then",
DP-DCU-C 4,DP-DCU-C,4,"Seat cool, passenger - return",SN16,5 A fuse at the O15 block,16,BLK,CAPPED,"The DCU's DT13-08PA (P153, D-382); the luxury harness LP49 plugs in at I4 - capped until then",
DP-DCU-C 5,DP-DCU-C,5,O15 supply in - servo rail and mirror heat,O15 block (L3-P 2),luxury LP21 position; the servo buck and the BTT6050 feed (SN27),16,RED,CAPPED,"The DCU's DT13-08PA (P153, D-382); the luxury harness LP49 plugs in at I4 - capped until then",
DP-DCU-C 6,DP-DCU-C,6,Power ground,GND bus,"14 AWG to the dash ground bus, G36 (D-382)",14,BLK,CAPPED,"The DCU's DT13-08PA (P153, D-382); the luxury harness LP49 plugs in at I4 - capped until then",
DP-DCU-C 7,DP-DCU-C,7,Power ground,GND bus,"14 AWG to the dash ground bus, G36 (D-382)",14,BLK,CAPPED,"The DCU's DT13-08PA (P153, D-382); the luxury harness LP49 plugs in at I4 - capped until then",
DP-DCU-C 8,DP-DCU-C,8,,,,,,PLUG,"Sealing plug, size 16 - spare",
